STABR,FSCSKEY,FSCS_SEQ,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,C_MSA,SQ_FEET,F_SQ_FT,L_NUM_BM,F_BKMOB,HOURS,F_HOURS,WKS_OPEN,F_WKSOPN,YR_SUB,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,FIPSST,FIPSCO,FIPSPLAC,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GAL,GALMS,POSTMS
AK,AK0035,004,AK0035-004,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,99801,1361,JUNEAU,9075865249,CE,NO,17000,R_13,0,R_13,2704,R_13,52,R_13,2014,00,00,00,-134.4036617,58.2984755,02,110,36400,32626,33,5.00,2013,0200,27940,1,house,STD,NND
AK,AK0037,002,AK0037-002,KASILOF PUBLIC LIBRARY,58200 STERLING HIGHWAY,KASILOF,99610,M,KENAI PENINSULA,9072603959,CE,NO,2553,R_13,0,R_13,1008,R_13,49,R_13,2014,00,00,00,-151.2603381,60.3125872,02,122,16420,57067,43,7.00,6056,0200,0,0,house,STD,NND
AK,AK0038,002,AK0038-002,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,7723,KENAI PENINSULA,9072834378,CE,NO,20000,R_13,0,R_13,3072,R_13,52,R_13,2014,00,00,00,-151.2442311,60.5585732,02,122,38420,57067,33,6.00,3049,0200,0,0,house,STD,NND
AK,AK0039,002,AK0039-002,KETCHIKAN PUBLIC LIBRARY,1110 COPPER RIDGE LANE,KETCHIKAN,99901,6250,KETCHIKAN GATEWAY,9072253331,CE,NO,16726,R_13,0,R_13,2538,R_13,47,R_13,2014,00,00,07,-131.6507290,55.3527110,02,130,38970,13695,33,3.00,1007,0200,28540,1,postalcode-sub,NCF,POC
AK,AK0040,002,AK0040-002,A. HOLMES JOHNSON MEMORIAL LIBRARY,319 LOWER MILL BAY ROAD,KODIAK,99615,6354,KODIAK ISLAND,9074868686,CE,NO,9202,R_13,0,R_13,3344,R_13,52,R_13,2014,00,00,00,-152.3986029,57.7939208,02,150,40950,14115,33,3.00,2015,0200,0,0,house,STD,NND
AK,AK0041,002,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752,M,NORTHWEST ARCTIC,9074422410,CE,NO,1700,R_13,0,R_13,2392,R_13,52,R_13,2014,00,00,00,-162.5928328,66.8970613,02,188,41830,7697,33,2.00,1009,0200,0,0,street,DGL,POC
AK,AK0041,003,AK0041-003,SELAWIK DAVIS RAMOTH COMMUNITY LIBRARY,2600 MUSK OX PARKWAY,SELAWIK,99770,M,NORTHWEST ARCTIC,9074842142,BR,NO,2000,R_13,0,R_13,400,R_13,40,R_13,2014,00,00,00,-159.5317330,66.2852860,02,188,00000,7697,43,0.00,0,0200,0,0,postalcode-main,NCF,POC
AK,AK0044,002,AK0044-002,MCGRATH COMMUNITY LIBRARY,249 F STREET,MCGRATH,99627,M,YUKON-KOYUKUK,9075243843,CE,NO,2536,R_13,0,R_13,1040,R_13,50,R_13,2014,00,06,07,-160.0655070,62.9092590,02,290,30060,5654,43,4.00,1266,0200,0,0,street,DGL,POC
AK,AK0046,002,AK0046-002,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926,M,PR WALES-OUTER KE,9078866000,CE,NO,990,R_13,0,R_13,960,R_13,50,R_13,2014,00,00,00,-131.5752070,55.1284830,02,198,48870,6402,43,9401.00,1027,0200,0,0,intersection,EXT,NND
AK,AK0047,003,AK0047-003,SOUTH NAKNEK PUBLIC LIBRARY,1 SCHOOL ROAD,SOUTH NAKNEK,99670,M,BRISTOL BAY,9072466513,BR,NO,840,R_13,0,R_13,1144,R_13,52,R_13,2014,00,00,00,-156.9862995,58.7323005,02,060,52060,955,43,1.00,1027,0200,0,0,street,DGL,POC
AK,AK0047,004,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633,M,BRISTOL BAY,9072464465,CE,NO,1456,R_13,0,R_13,2080,R_13,52,R_13,2014,00,00,00,-156.6675022,58.6820703,02,060,39630,955,43,1.00,1155,0200,0,0,house,STD,NND
AK,AK0048,002,AK0048-002,NENANA PUBLIC LIBRARY,201 EAST SECOND STREET,NENANA,99760,M,YUKON-KOYUKUK,9078325812,CE,NO,2421,R_13,0,R_13,1664,R_13,52,R_13,2014,00,00,00,-149.0928496,64.5624425,02,290,53050,5654,43,2.00,2293,0200,0,0,house,ADV,NND
AK,AK0051,002,AK0051-002,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,99639,M,KENAI PENINSULA,9075673333,CE,NO,3200,R_13,0,R_13,1450,R_13,52,R_13,2014,00,00,00,-151.6922728,60.0277445,02,122,31710,57067,43,8.00,1075,0200,0,0,house,STD,NND
AK,AK0052,002,AK0052-002,KEGOAYAH KOZGA LIBRARY,223 FRONT STREET,NOME,99762,M,NOME,9074436628,CE,NO,1800,R_13,0,R_13,2244,R_13,52,R_13,2014,00,00,00,-165.4054974,64.4973222,02,180,54920,9884,33,2.00,3027,0200,0,0,house,STD,NND
AK,AK0053,002,AK0053-002,NORTHWAY COMMUNITY/SCHOOL LIBRARY,496 NORTHWAY ROAD,NORTHWAY,99764,M,SE FAIRBANK,9077782310,CE,NO,2562,R_13,0,R_13,480,R_13,48,R_13,2014,00,00,00,-141.9362156,62.9592700,02,240,56220,6969,43,1.00,1654,0200,0,0,street,DGL,POC
AK,AK0055,002,AK0055-002,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645,6667,MATANUSKA-SUSITNA,9077611371,CE,NO,11400,R_13,0,R_13,2288,R_13,52,R_13,2014,00,00,00,-149.1130480,61.5999670,02,170,58660,95892,32,12.01,2008,0200,11260,0,addresspoint,STD,NND
AK,AK0056,002,AK0056-002,PELICAN PUBLIC LIBRARY,166 SALMON WAY,PELICAN,99832,M,SKAGWAY-ANGOON,9077352500,CE,NO,1200,R_13,0,R_13,728,R_13,52,R_13,2014,00,00,00,-136.2239227,57.9587365,02,105,59650,2134,43,3.00,1215,0200,0,0,street,DGL,POC
AK,AK0057,002,AK0057-002,PETERSBURG PUBLIC LIBRARY,12 NORDIC DRIVE,PETERSBURG,99833,M,WRANGELL-PETERSBU,9077723349,CE,NO,2645,R_13,0,R_13,2550,R_13,51,R_13,2014,00,00,00,-133.1315020,56.8517990,02,195,00000,3213,43,2.00,4106,0200,0,0,postalcode-main,ABR,POC
AK,AK0058,002,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,99550,M,KODIAK ISLAND,9074542288,CE,NO,1360,R_13,0,R_13,1140,R_13,52,R_13,2014,00,00,00,-152.8836840,57.8663900,02,150,63610,14115,43,1.00,2439,0200,0,0,addresspoint,STD,NND
AK,AK0061,002,AK0061-002,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,930 TOLSTOI BOULEVARD,ST. PAUL,99660,M,ALEUTIANS WEST,9075463324,CE,NO,1280,R_13,0,R_13,960,R_13,48,R_13,2014,00,00,00,-170.2800724,57.1209898,02,016,66470,5692,43,1.00,1494,0200,0,0,street,DGL,POC
AK,AK0064,002,AK0064-002,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,99663,M,KENAI PENINSULA,9072347662,CE,NO,2791,R_13,0,R_13,913,R_13,51,R_13,2014,00,00,00,-151.7145869,59.4386818,02,122,68340,57067,43,12.00,1314,0200,0,0,street,DGL,POC
AK,AK0065,002,AK0065-002,SEWARD COMMUNITY LIBRARY MUSEUM,238 5TH AVENUE,SEWARD,99664,M,KENAI PENINSULA,9072244008,CE,NO,7900,R_13,0,R_13,3172,R_13,52,R_13,2014,00,00,00,-149.4387634,60.1016983,02,122,68560,57067,43,13.00,2085,0200,0,0,house,STD,NND
AK,AK0067,002,AK0067-002,KETTLESON MEMORIAL LIBRARY,320 HARBOR DRIVE,SITKA,99835,7553,SITKA,9077478708,CE,NO,7300,R_13,0,R_13,3592,R_13,52,R_13,2014,00,00,00,-135.3345211,57.0495852,02,220,70540,9014,41,2.00,4027,0200,0,0,house,STD,NND
AK,AK0068,002,AK0068-002,SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,99840,M,SKAGWAY-ANGOON,9079832665,CE,NO,5014,R_13,0,R_13,2040,R_13,52,R_13,2014,00,00,00,-135.3080232,59.4606145,02,230,70760,1012,43,1.00,1144,0200,0,0,house,STD,NND
AK,AK0069,002,AK0069-002,SOLDOTNA PUBLIC LIBRARY,44332 STERLING HIGHWAY,SOLDOTNA,99669,8066,KENAI PENINSULA,9072624227,CE,NO,1341,R_13,0,R_13,2804,R_13,52,R_13,2014,00,00,00,-151.0674151,60.4835693,02,122,71640,57067,33,5.00,4012,0200,0,0,house,STD,NND
AK,AK0070,002,AK0070-002,SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER,11301 NORTH CHICKALOON WAY,SUTTON,99674,M,MATANUSKA-SUSITNA,9077454467,CE,NO,6258,R_13,0,R_13,2132,R_13,52,R_13,2014,00,06,00,-148.9771610,61.7059520,02,170,74525,95892,42,2.00,1001,0200,11260,0,postalcode-sub,PCR,POC
AK,AK0072,002,AK0072-002,TALKEETNA PUBLIC LIBRARY,23151 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,99676,M,MATANUSKA-SUSITNA,9077332359,CE,NO,2590,R_13,0,R_13,2184,R_13,52,R_13,2014,00,00,00,-150.1080973,62.3215917,02,170,74830,95892,43,1.02,1023,0200,11260,0,street,DGL,POC
AK,AK0073,002,AK0073-002,TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET,TANANA,99777,M,YUKON-KOYUKUK,9073667356,CE,NO,848,R_13,0,R_13,380,R_13,38,R_13,2014,00,00,00,-151.9573140,65.3298390,02,290,00000,5654,43,2.00,1380,0200,0,0,postalcode-main,NCF,POC
AK,AK0074,002,AK0074-002,DERMOTT O'TOOLE MEMORIAL LIBRARY,702 WEST TENAKEE AVENUE,TENAKEE SPRINGS,99841,M,SKAGWAY-ANGOON,9077362248,CE,NO,896,R_13,0,R_13,800,R_13,50,R_13,2014,00,00,00,-135.2169506,57.7800673,02,105,76260,2134,43,3.00,3346,0200,0,0,street,DGL,POC
AK,AK0075,002,AK0075-002,TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,99780,M,SE FAIRBANK,9078835623,CE,NO,960,R_13,0,R_13,1409,R_13,52,R_13,2014,00,00,00,-142.2148930,63.9102620,02,240,00000,6969,43,1.00,1230,0200,0,0,postalcode-main,NCF,POC
AK,AK0077,002,AK0077-002,VALDEZ CONSORTIUM LIBRARY,212 FAIRBANKS DRIVE,VALDEZ,99686,M,VALDEZ-CORDOVA,9078354632,CE,NO,15000,R_13,0,R_13,2860,R_13,52,R_13,2014,00,00,15,-146.3533960,61.1298820,02,261,82200,9770,43,3.00,5016,0200,0,0,house,STD,NND
AK,AK0078,002,AK0078-002,WASILLA PUBLIC LIBRARY,391 NORTH MAIN STREET,WASILLA,99654,7021,MATANUSKA-SUSITNA,9073765913,CE,NO,7687,R_13,0,R_13,2002,R_13,52,R_13,2014,00,00,00,-149.4414820,61.5831250,02,170,83080,95892,32,8.00,3025,0200,11260,0,addresspoint,STD,NND
AK,AK0080,002,AK0080-002,WILLOW PUBLIC LIBRARY,23557 WEST WILLOW COMMUNITY CENTER,WILLOW,99688,M,MATANUSKA-SUSITNA,9074957323,CE,NO,4111,R_13,0,R_13,2300,R_13,52,R_13,2014,00,00,00,-150.8516030,61.3351900,02,170,00000,95892,43,0.00,0,0200,0,0,postalcode-main,NCF,POC
AK,AK0081,002,AK0081-002,IRENE INGLE PUBLIC LIBRARY,124 SECOND STREET,WRANGELL,99929,M,WRANGELL,9078743535,CE,NO,5930,R_13,0,R_13,1858,R_13,52,R_13,2014,00,00,00,-132.3869380,56.4730653,02,275,86380,2404,43,3.00,2008,0200,0,0,house,STD,NND
AK,AK0082,002,AK0082-002,AKIAK SCHOOL/COMMUNITY LIBRARY,1 KILBUCK ROAD,AKIAK,99552,M,BETHEL,9077654631,CE,NO,2500,R_13,0,R_13,480,R_13,48,R_13,2014,08,00,00,-161.2283440,60.9177950,02,050,00870,17806,43,1.00,3197,0200,0,0,street,DGL,POC
AK,AK0085,004,AK0085-002,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,99573,M,VALDEZ-CORDOVA,9078223015,CE,NO,1440,R_13,0,R_13,984,R_13,52,R_13,2014,00,00,00,-144.0430210,61.7099580,02,261,00000,9770,43,0.00,0,0200,0,0,postalcode-main,NCF,POC
AK,AK0087,002,AK0087-002,KOYUK PUBLIC LIBRARY,3RD AND BIRCH STREET,KOYUK,99753,M,NOME,9079633971,CE,NO,1000,R_13,0,R_13,1040,R_13,52,R_13,2014,00,00,00,-161.1418370,64.9380300,02,180,41940,9884,43,1.00,3174,0200,0,0,postalcode-main,NCF,POC
AK,AK0091,002,AK0091-002,TULUKSAK SCHOOL/COMMUNITY LIBRARY,1 PHILLIP STREET,TULUKSAK,99679,M,BETHEL,9076955630,CE,NO,1495,R_13,0,R_13,720,R_13,48,R_13,2014,00,00,00,-160.9523970,61.1077690,02,050,78790,17806,43,1.00,3041,0200,0,0,postalcode-main,NCF,POC
AK,AK0094,003,AK0094-003,ALAK COMMUNITY/SCHOOL LIBRARY,567 MAIN STREET,WAINWRIGHT,99782,M,NORTH SLOPE,9077632541,BR,NO,2225,R_13,0,R_13,264,R_13,22,R_13,2014,00,00,00,-160.0249975,70.6390773,02,185,82750,9733,43,2.00,2237,0200,0,0,house,STD,NND
AK,AK0094,004,AK0094-004,TIKIGAK SCHOOL/COMMUNITY LIBRARY,1837 TIKIGAQ AVENUE,POINT HOPE,99766,M,NORTH SLOPE,9073682662,BR,NO,2849,R_13,0,R_13,540,R_13,45,R_13,2014,00,00,00,-166.7717014,68.3460608,02,185,61630,9733,43,2.00,1097,0200,0,0,house,STD,NND
AK,AK0094,005,AK0094-005,NUNAMIUT SCHOOL/COMMUNITY LIBRARY,114 ILLINOIS AVENUE,ANAKTUVUK PASS,99721,M,NORTH SLOPE,9076613226,BR,NO,1230,R_13,0,R_13,312,R_13,26,R_13,2014,00,00,00,-151.7278383,68.1467502,02,185,02080,9733,43,2.00,3410,0200,0,0,street,DGL,POC
AK,AK0094,006,AK0094-006,MEADE RIVER SCHOOL/COMMUNITY LIBRARY,4001 KIPPI STREET,ATQASUK,99791,M,NORTH SLOPE,9076636315,BR,NO,800,R_13,0,R_13,540,R_13,45,R_13,2014,00,00,00,-157.4186478,70.4753844,02,185,04500,9733,43,2.00,2224,0200,0,0,house,STD,NND
AK,AK0094,007,AK0094-007,HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY,2001 BARTER AVENUE,KAKTOVIK,99747,M,NORTH SLOPE,9076406626,BR,NO,2880,R_13,0,R_13,480,R_13,40,R_13,2014,00,00,00,-143.6312348,70.1291083,02,185,36990,9733,43,2.00,3494,0200,0,0,house,STD,NND
AK,AK0094,008,AK0094-008,NUIQSUT SCHOOL/COMMUNITY LIBRARY,3310  3RD AVENUE,NUIQSUT,99789,M,NORTH SLOPE,9074806712,BR,NO,1305,R_13,0,R_13,516,R_13,43,R_13,2014,00,00,00,-151.0011339,70.2231195,02,185,56320,9733,43,2.00,3243,0200,0,0,house,STD,NND
AK,AK0094,009,AK0094-009,KALI SCHOOL/COMMUNITY LIBRARY,1029 QASIGIALIK STREET,POINT LAY,99759,M,NORTH SLOPE,9078332311,BR,NO,888,R_13,0,R_13,396,R_13,33,R_13,2014,00,00,00,-163.0165989,69.7410522,02,185,61700,9733,43,2.00,1110,0200,0,0,house,STD,NND
AK,AK0094,010,AK0094-010,TUZZY CONSORTIUM LIBRARY,5421 NORTH STAR STREET,BARROW,99723,M,NORTH SLOPE,9078524050,CE,NO,11500,R_13,0,R_13,3120,R_13,52,R_13,2014,00,00,00,-156.7534146,71.2984603,02,185,05200,9733,33,1.00,1110,0200,0,0,house,STD,NND
