STABR,FSCSKEY,FSCS_SEQ,LIBID,LIBNAME,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,FIPSST,FIPSCO,FIPSPLAC,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GAL,GALMS,POSTMS,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,C_MSA,SQ_FEET,F_SQ_FT,L_NUM_BM,F_BKMOB,HOURS,F_HOURS,WKS_OPEN,F_WKSOPN,YR_SUB
AK,AK0011,002,AK0011-002,CHINIAK PUBLIC LIBRARY,00,00,00,-152.2325806,57.6122291,02,150,13860,13986,43,1,3123,0200,0,0,street,DGL,POC,43318 SPRUCE WAY,CHINIAK,99615,M,KODIAK ISLAND,9074863022,CE,NO,1000,R_14,0,R_14,720,R_14,48,R_14,2015
AK,AK0014,002,AK0014-002,COLD BAY PUBLIC LIBRARY,00,00,00,-162.7133916,55.206634,02,013,16530,3360,43,1,1260,0200,0,0,street,DGL,POC,10 BARANOV ROAD,COLD BAY,99571,M,ALEUTIANS EAST,9075322878,CE,NO,1100,R_14,0,R_14,480,R_14,48,R_14,2015
AK,AK0015,002,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,00,00,00,-150.010519,60.487401,02,122,00000,57477,43,4,1001,0200,0,0,postalcode-main,NCF,POC,MILE .8 BEAN CREEK ROAD,COOPER LANDING,99572,M,KENAI PENINSULA,9075951241,CE,NO,1320,R_14,0,R_14,1092,R_14,52,R_14,2015
AK,AK0016,002,AK0016-002,CORDOVA PUBLIC LIBRARY,00,00,00,-145.766031,60.5479952,02,261,17410,9488,43,2,2000,0200,0,0,house,STD,NND,622 FIRST STREET,CORDOVA,99574,M,VALDEZ-CORDOVA,9074246667,CE,NO,2800,R_14,0,R_14,2652,R_14,52,R_14,2015
AK,AK0017,003,AK0017-003,CRAIG PUBLIC LIBRARY,00,00,00,-133.1514564,55.4761261,02,198,17740,6396,43,2,3046,0200,0,0,house,STD,NND,504 THIRD STREET,CRAIG,99921,M,PR WALES-OUTER KE,9078263281,CE,NO,1800,R_14,0,R_14,2355,R_14,52,R_14,2015
AK,AK0018,002,AK0018-002,IPNATCHIAQ LIBRARY,08,00,00,0,0,02,188,00000,7717,.,0,0,.,0,.,.,.,.,59 MAIN STREET,DEERING,99736,M,NORTHWEST ARCTIC,9073632136,CE,M,375,R_14,0,R_14,550,R_14,50,R_14,2015
AK,AK0019,002,AK0019-002,DELTA COMMUNITY LIBRARY,00,00,00,-145.7334852,64.0465711,02,240,18620,6931,43,4,2034,0200,0,0,house,STD,NND,2291 DEBORAH STREET,DELTA JUNCTION,99737,M,SE FAIRBANK,9078954102,CE,NO,5000,R_14,0,R_14,2600,R_14,52,R_14,2015
AK,AK0020,002,AK0020-002,DILLINGHAM PUBLIC LIBRARY,00,00,00,-158.4667361,59.0402542,02,070,18950,4988,43,2,2002,0200,0,0,house,ADV,NND,306 D STREET WEST,DILLINGHAM,99576,M,DILLINGHAM,9078425610,CE,NO,2430,R_14,0,R_14,2080,R_14,52,R_14,2015
AK,AK0021,002,AK0021-002,EAGLE PUBLIC LIBRARY,00,00,15,-141.201518,64.786619,02,240,20380,6931,43,1,1192,0200,0,0,postalcode-main,NCF,POC,4TH & AMUNDSEN,EAGLE,99738,M,SE FAIRBANK,9075472334,CE,NO,1500,R_14,0,R_14,713,R_14,51,R_14,2015
AK,AK0023,002,AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,00,14,00,-147.738617,64.838318,02,090,24230,99357,13,1,2027,0200,21820,0,addresspoint,STD,NND,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591022,CE,NO,62100,R_14,0,R_14,3224,R_14,52,R_14,2015
AK,AK0023,003,AK0023-003,NORTH POLE BRANCH LIBRARY,00,00,00,-147.350711,64.749182,02,090,55910,99357,23,16,3054,0200,21820,0,addresspoint,STD,NND,601 SNOWMAN LANE,NORTH POLE,99705,7716,FAIRBANKS NORTH STAR,9074886101,BR,NO,4200,R_14,0,R_14,2080,R_14,52,R_14,2015
AK,AK0023,004,AK0023-004,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,00,14,00,-147.738617,64.838318,02,090,24230,99357,13,1,2027,0200,21820,0,addresspoint,STD,NND,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591031,BS,NO,-3,U_14,1,R_14,1820,R_14,52,R_14,2015
AK,AK0025,002,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,00,00,15,-156.8723252,64.7480237,02,290,27530,5547,43,3,2040,0200,0,0,house,ADV,NND,299 ANTOSKI ROAD,GALENA,99741,M,YUKON-KOYUKUK,9076561883,CE,NO,1500,R_14,0,R_14,720,R_14,48,R_14,2015
AK,AK0027,002,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,00,00,00,-146.050333,62.198412,02,261,00000,9488,43,1,2000,0200,0,0,postalcode-main,NCF,POC,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,M,VALDEZ-CORDOVA,9078225427,CE,NO,2000,R_14,0,R_14,1582,R_14,52,R_14,2015
AK,AK0028,002,AK0028-002,GUSTAVUS PUBLIC LIBRARY,00,00,00,-135.726709,58.4130833,02,105,30940,2082,43,3,1324,0200,0,0,house,STD,NND,14 GUSTAVUS ROAD,GUSTAVUS,99826,M,SKAGWAY-ANGOON,9076972350,CE,NO,3052,R_14,0,R_14,1248,R_14,51,R_14,2015
AK,AK0029,002,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,00,00,00,-135.4480632,59.232844,02,100,31050,2566,43,1,3013,0200,0,0,street,DGL,POC,111 THIRD AVENUE SOUTH,HAINES,99827,M,HAINES,9077662545,CE,NO,8400,R_14,0,R_14,3016,R_14,52,R_14,2015
AK,AK0030,002,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,00,00,00,-149.0170333,63.8734912,02,068,32150,1921,43,1,2118,0200,0,0,street,DGL,POC,400 SUNTRANA STREET,HEALY,99743,M,DENALI,9076832507,CE,NO,4560,R_14,0,R_14,1000,R_14,51,R_14,2015
AK,AK0031,002,AK0031-002,HOLLIS PUBLIC LIBRARY,00,00,00,-133.075907,55.781881,02,198,00000,6396,43,1,1217,0200,0,0,postalcode-main,NCF,POC,NO. 1 HOLLIS CHILKAT ROAD,HOLLIS,99950,M,PR WALES-OUTER KE,9075307112,CE,NO,2300,R_14,0,R_14,1100,R_14,48,R_14,2015
AK,AK0032,002,AK0032-002,HOMER PUBLIC LIBRARY,00,00,00,-151.544299,59.640502,02,122,33140,57477,43,10,1036,0200,0,0,postalcode-sub,PCR,POC,500 HAZEL AVENUE,HOMER,99603,7849,KENAI PENINSULA,9072353180,CE,NO,17000,R_14,0,R_14,2617,R_14,52,R_14,2015
AK,AK0033,002,AK0033-002,HOPE COMMUNITY LIBRARY,00,00,00,-149.445094,60.109417,02,122,68560,57477,43,13,2045,0200,0,0,street,DGL,POC,18487 A AVENUE,HOPE,99605,M,KENAI PENINSULA,9077823121,CE,NO,2304,R_14,0,R_14,960,R_14,48,R_14,2015
AK,AK0035,002,AK0035-002,DOUGLAS PUBLIC LIBRARY,00,00,00,-134.395337,58.276862,02,110,36400,32406,33,6,3017,0200,27940,1,addresspoint,STD,NND,1016 THIRD STREET,DOUGLAS,99824,5416,JUNEAU,9073642378,BR,NO,8000,R_14,0,R_14,1872,R_14,52,R_14,2015
AK,AK0035,003,AK0035-003,MENDENHALL VALLEY PUBLIC LIBRARY,00,00,00,-134.5846906,58.3717703,02,110,36400,32406,33,2,5022,0200,27940,1,house,STD,NND,"9105 MENDENHALL MALL ROAD, #134",JUNEAU,99801,7156,JUNEAU,9077890125,BR,NO,9391,R_14,0,R_14,3172,R_14,52,R_14,2015
AK,AK0035,004,AK0035-004,JUNEAU PUBLIC LIBRARIES,00,00,00,-134.4036617,58.2984755,02,110,36400,32406,33,5,2013,0200,27940,1,house,STD,NND,292 MARINE WAY,JUNEAU,99801,1361,JUNEAU,9075865249,CE,NO,17000,R_14,0,R_14,2704,R_14,52,R_14,2015
AK,AK0037,002,AK0037-002,KASILOF PUBLIC LIBRARY,00,00,15,-151.2603381,60.3125872,02,122,16420,57477,43,7,6056,0200,0,0,house,STD,NND,58231 STERLING HIGHWAY,KASILOF,99610,M,KENAI PENINSULA,9072603959,CE,NO,2553,R_14,0,R_14,750,R_14,49,R_14,2015
AK,AK0038,002,AK0038-002,KENAI COMMUNITY LIBRARY,00,00,00,-151.2442311,60.5585732,02,122,38420,57477,33,6,3049,0200,0,0,house,STD,NND,163 MAIN STREET LOOP,KENAI,99611,7723,KENAI PENINSULA,9072834378,CE,NO,20000,R_14,0,R_14,3006,R_14,52,R_14,2015
AK,AK0039,002,AK0039-002,KETCHIKAN PUBLIC LIBRARY,00,00,00,-131.650729,55.352711,02,130,38970,13787,33,3,1007,0200,28540,1,postalcode-sub,NCF,POC,1110 COPPER RIDGE LANE,KETCHIKAN,99901,6250,KETCHIKAN GATEWAY,9072253331,CE,NO,16726,R_14,0,R_14,2916,R_14,52,R_14,2015
AK,AK0040,002,AK0040-002,KODIAK PUBLIC LIBRARY,00,06,07,0,0,02,150,00000,13986,.,0,0,.,0,.,.,.,.,612 EGAN WAY,KODIAK,99615,6487,KODIAK ISLAND,9074868686,CE,M,16000,R_14,0,R_14,3047,R_14,45,R_14,2015
AK,AK0041,002,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,00,00,00,-162.5928328,66.8970613,02,188,41830,7717,33,2,1009,0200,0,0,street,DGL,POC,604 THIRD STREET,KOTZEBUE,99752,M,NORTHWEST ARCTIC,9074422410,CE,NO,1700,R_14,0,R_14,2392,R_14,52,R_14,2015
AK,AK0041,003,AK0041-003,SELAWIK DAVIS RAMOTH COMMUNITY LIBRARY,00,00,00,-159.531733,66.285286,02,188,00000,7717,43,0,0,0200,0,0,postalcode-main,NCF,POC,2600 MUSK OX PARKWAY,SELAWIK,99770,M,NORTHWEST ARCTIC,9074842142,BR,NO,2000,R_14,0,R_14,520,R_14,52,R_14,2015
AK,AK0044,002,AK0044-002,MCGRATH COMMUNITY LIBRARY,00,00,00,-160.065507,62.909259,02,290,30060,5547,43,4,1266,0200,0,0,street,DGL,POC,249 F STREET,MCGRATH,99627,M,YUKON-KOYUKUK,9075243843,CE,NO,2536,R_14,0,R_14,1332,R_14,52,R_14,2015
AK,AK0046,002,AK0046-002,CENTENNIAL LIBRARY,00,00,00,-131.575207,55.128483,02,198,48870,6396,43,9401,1027,0200,0,0,intersection,EXT,NND,4TH & MILTON STREET,METLAKATLA,99926,M,PR WALES-OUTER KE,9078866000,CE,NO,990,R_14,0,R_14,1000,R_14,50,R_14,2015
AK,AK0047,003,AK0047-003,SOUTH NAKNEK PUBLIC LIBRARY,00,00,00,-156.9862995,58.7323005,02,060,52060,957,43,1,1027,0200,0,0,street,DGL,POC,1 SCHOOL ROAD,SOUTH NAKNEK,99670,M,BRISTOL BAY,9072466513,BR,NO,840,R_14,0,R_14,1144,R_14,52,R_14,2015
AK,AK0047,004,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,00,00,00,-156.6675022,58.6820703,02,060,39630,957,43,1,1155,0200,0,0,house,STD,NND,101 MAIN STREET,NAKNEK,99633,M,BRISTOL BAY,9072464465,CE,NO,1456,R_14,0,R_14,2080,R_14,52,R_14,2015
AK,AK0048,002,AK0048-002,NENANA PUBLIC LIBRARY,00,00,15,-149.0928496,64.5624425,02,290,53050,5547,43,2,2293,0200,0,0,house,ADV,NND,106 EAST SECOND STREET,NENANA,99760,M,YUKON-KOYUKUK,9078325812,CE,NO,2421,R_14,0,R_14,1664,R_14,52,R_14,2015
AK,AK0051,002,AK0051-002,NINILCHIK COMMUNITY LIBRARY,00,00,00,-151.6922728,60.0277445,02,122,31710,57477,43,8,1075,0200,0,0,house,STD,NND,15850 STERLING HIGHWAY,NINILCHIK,99639,M,KENAI PENINSULA,9075673333,CE,NO,3200,R_14,0,R_14,1456,R_14,52,R_14,2015
AK,AK0052,002,AK0052-002,KEGOAYAH KOZGA LIBRARY,00,00,00,-165.4054974,64.4973222,02,180,54920,9817,33,2,3027,0200,0,0,house,STD,NND,223 FRONT STREET,NOME,99762,M,NOME,9074436628,CE,NO,1800,R_14,0,R_14,2244,R_14,52,R_14,2015
AK,AK0053,002,AK0053-002,NORTHWAY COMMUNITY/SCHOOL LIBRARY,00,00,00,-141.9362156,62.95927,02,240,56220,6931,43,1,1654,0200,0,0,street,DGL,POC,496 NORTHWAY ROAD,NORTHWAY,99764,M,SE FAIRBANK,9077782310,CE,NO,2562,R_14,0,R_14,300,R_14,30,R_14,2015
AK,AK0055,002,AK0055-002,PALMER PUBLIC LIBRARY,00,00,00,-149.113048,61.599967,02,170,58660,97882,32,12.01,2008,0200,11260,0,addresspoint,STD,NND,655 SOUTH VALLEY WAY,PALMER,99645,6667,MATANUSKA-SUSITNA,9077611371,CE,NO,11400,R_14,0,R_14,2288,R_14,52,R_14,2015
AK,AK0056,002,AK0056-002,PELICAN PUBLIC LIBRARY,00,00,00,-136.2239227,57.9587365,02,105,59650,2082,43,3,1215,0200,0,0,street,DGL,POC,166 SALMON WAY,PELICAN,99832,M,SKAGWAY-ANGOON,9077352500,CE,NO,1200,R_14,0,R_14,728,R_14,52,R_14,2015
AK,AK0057,002,AK0057-002,PETERSBURG PUBLIC LIBRARY,00,00,07,0,0,02,195,00000,3160,.,0,0,.,0,.,.,.,.,14 SOUTH SECOND STREET,PETERSBURG,99833,M,WRANGELL-PETERSBU,9077723349,CE,M,9700,R_14,0,R_14,2408,R_14,43,R_14,2015
AK,AK0058,002,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,00,00,00,-152.883684,57.86639,02,150,63610,13986,43,1,2439,0200,0,0,addresspoint,STD,NND,207 SPRUCE DRIVE,PORT LIONS,99550,M,KODIAK ISLAND,9074542288,CE,NO,1360,R_14,0,R_14,1196,R_14,52,R_14,2015
AK,AK0061,002,AK0061-002,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,00,00,00,-170.2800724,57.1209898,02,016,66470,5750,43,1,1494,0200,0,0,street,DGL,POC,930 TOLSTOI BOULEVARD,ST. PAUL,99660,M,ALEUTIANS WEST,9075463324,CE,NO,1280,R_14,0,R_14,960,R_14,48,R_14,2015
AK,AK0064,002,AK0064-002,SELDOVIA PUBLIC LIBRARY,00,00,00,-151.7145869,59.4386818,02,122,68340,57477,43,12,1314,0200,0,0,street,DGL,POC,260 SELDOVIA STREET,SELDOVIA,99663,M,KENAI PENINSULA,9072347662,CE,NO,2791,R_14,0,R_14,1029,R_14,52,R_14,2015
AK,AK0065,002,AK0065-002,SEWARD COMMUNITY LIBRARY MUSEUM,00,00,07,0,0,02,122,00000,57477,.,0,0,.,0,.,.,.,.,239 6TH AVENUE,SEWARD,99664,M,KENAI PENINSULA,9072244008,CE,M,22542,R_14,0,R_14,2424,R_14,52,R_14,2015
AK,AK0067,002,AK0067-002,KETTLESON MEMORIAL LIBRARY,00,00,00,-135.3345211,57.0495852,02,220,70540,8900,41,2,4027,0200,0,0,house,STD,NND,320 HARBOR DRIVE,SITKA,99835,7553,SITKA,9077478708,CE,NO,7300,R_14,0,R_14,3692,R_14,52,R_14,2015
AK,AK0068,002,AK0068-002,SKAGWAY PUBLIC LIBRARY,00,00,00,-135.3080232,59.4606145,02,230,70760,1036,43,1,1144,0200,0,0,house,STD,NND,769 STATE STREET,SKAGWAY,99840,M,SKAGWAY-ANGOON,9079832665,CE,NO,5014,R_14,0,R_14,2264,R_14,52,R_14,2015
AK,AK0069,002,AK0069-002,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,00,06,07,0,0,02,122,00000,57477,.,0,0,.,0,.,.,.,.,235 NORTH BINKLEY ST.,SOLDOTNA,99669,7523,KENAI PENINSULA,9072624227,CE,M,21054,R_14,0,R_14,2600,R_14,50,R_14,2015
AK,AK0070,002,AK0070-002,SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER,00,00,00,-148.977161,61.705952,02,170,74525,97882,42,2,1001,0200,11260,0,postalcode-sub,PCR,POC,11301 NORTH CHICKALOON WAY,SUTTON,99674,M,MATANUSKA-SUSITNA,9077454467,CE,NO,6258,R_14,0,R_14,2132,R_14,52,R_14,2015
AK,AK0072,002,AK0072-002,TALKEETNA PUBLIC LIBRARY,00,00,00,-150.1080973,62.3215917,02,170,74830,97882,43,1.02,1023,0200,11260,0,street,DGL,POC,23151 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,99676,M,MATANUSKA-SUSITNA,9077332359,CE,NO,2590,R_14,0,R_14,2184,R_14,52,R_14,2015
AK,AK0073,002,AK0073-002,TANANA COMMUNITY/SCHOOL LIBRARY,00,00,00,-151.957314,65.329839,02,290,00000,5547,43,2,1380,0200,0,0,postalcode-main,NCF,POC,89 FRONT STREET,TANANA,99777,M,YUKON-KOYUKUK,9073667356,CE,NO,848,R_14,0,R_14,420,R_14,42,R_14,2015
AK,AK0074,002,AK0074-002,DERMOTT O'TOOLE MEMORIAL LIBRARY,00,00,15,-135.2169506,57.7800673,02,105,76260,2082,43,3,3346,0200,0,0,street,DGL,POC,707 WEST TENAKEE AVENUE,TENAKEE SPRINGS,99841,M,SKAGWAY-ANGOON,9077362248,CE,NO,896,R_14,0,R_14,800,R_14,50,R_14,2015
AK,AK0075,002,AK0075-002,TOK COMMUNITY LIBRARY,00,00,00,-142.214893,63.910262,02,240,00000,6931,43,1,1230,0200,0,0,postalcode-main,NCF,POC,MILE 1314 ALASKA HIGHWAY,TOK,99780,M,SE FAIRBANK,9078835623,CE,NO,960,R_14,0,R_14,1656,R_14,52,R_14,2015
AK,AK0077,002,AK0077-002,VALDEZ CONSORTIUM LIBRARY,00,00,00,-146.353396,61.129882,02,261,82200,9488,43,3,5016,0200,0,0,house,STD,NND,212 FAIRBANKS DRIVE,VALDEZ,99686,M,VALDEZ-CORDOVA,9078354632,CE,NO,15000,R_14,0,R_14,2860,R_14,52,R_14,2015
AK,AK0078,002,AK0078-002,WASILLA PUBLIC LIBRARY,00,00,00,-149.441482,61.583125,02,170,83080,97882,32,8,3025,0200,11260,0,addresspoint,STD,NND,391 NORTH MAIN STREET,WASILLA,99654,7021,MATANUSKA-SUSITNA,9073765913,CE,NO,7687,R_14,0,R_14,1975,R_14,52,R_14,2015
AK,AK0080,002,AK0080-002,WILLOW PUBLIC LIBRARY,00,00,00,-150.851603,61.33519,02,170,00000,97882,43,0,0,0200,0,0,postalcode-main,NCF,POC,23557 WEST WILLOW COMMUNITY CENTER,WILLOW,99688,M,MATANUSKA-SUSITNA,9074957323,CE,NO,4111,R_14,0,R_14,2300,R_14,52,R_14,2015
AK,AK0081,002,AK0081-002,IRENE INGLE PUBLIC LIBRARY,00,00,00,-132.386938,56.4730653,02,275,86380,2364,43,3,2008,0200,0,0,house,STD,NND,124 SECOND STREET,WRANGELL,99929,M,WRANGELL,9078743535,CE,NO,5930,R_14,0,R_14,1858,R_14,52,R_14,2015
AK,AK0082,002,AK0082-002,AKIAK SCHOOL/COMMUNITY LIBRARY,00,00,00,-161.228344,60.917795,02,050,00870,17868,43,1,3197,0200,0,0,street,DGL,POC,1 KILBUCK ROAD,AKIAK,99552,M,BETHEL,9077654631,CE,NO,2500,R_14,0,R_14,480,R_14,48,R_14,2015
AK,AK0085,004,AK0085-002,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,00,00,00,-144.043021,61.709958,02,261,00000,9488,43,0,0,0200,0,0,postalcode-main,NCF,POC,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,99573,M,VALDEZ-CORDOVA,9078223015,CE,NO,1440,R_14,0,R_14,785,R_14,52,R_14,2015
AK,AK0087,002,AK0087-002,KOYUK PUBLIC LIBRARY,00,00,00,-161.141837,64.93803,02,180,41940,9817,43,1,3174,0200,0,0,postalcode-main,NCF,POC,3RD AND BIRCH STREET,KOYUK,99753,M,NOME,9079633971,CE,NO,1000,R_14,0,R_14,520,R_14,50,R_14,2015
AK,AK0091,002,AK0091-002,TULUKSAK SCHOOL/COMMUNITY LIBRARY,00,00,00,-160.952397,61.107769,02,050,78790,17868,43,1,3041,0200,0,0,postalcode-main,NCF,POC,1 PHILLIP STREET,TULUKSAK,99679,M,BETHEL,9076955630,CE,NO,1495,R_14,0,R_14,1300,R_14,52,R_14,2015
AK,AK0094,003,AK0094-003,ALAK COMMUNITY/SCHOOL LIBRARY,00,00,00,-160.0249975,70.6390773,02,185,82750,9703,43,2,2237,0200,0,0,house,STD,NND,567 MAIN STREET,WAINWRIGHT,99782,M,NORTH SLOPE,9077632541,BR,NO,2225,R_14,0,R_14,480,R_14,40,R_14,2015
AK,AK0094,004,AK0094-004,TIKIGAK SCHOOL/COMMUNITY LIBRARY,00,00,00,-166.7717014,68.3460608,02,185,61630,9703,43,2,1097,0200,0,0,house,STD,NND,1837 TIKIGAQ AVENUE,POINT HOPE,99766,M,NORTH SLOPE,9073682662,BR,NO,2849,R_14,0,R_14,528,R_14,44,R_14,2015
AK,AK0094,005,AK0094-005,NUNAMIUT SCHOOL/COMMUNITY LIBRARY,00,00,00,-151.7278383,68.1467502,02,185,02080,9703,43,2,3410,0200,0,0,street,DGL,POC,114 ILLINOIS AVENUE,ANAKTUVUK PASS,99721,M,NORTH SLOPE,9076613226,BR,NO,1230,R_14,0,R_14,480,R_14,40,R_14,2015
AK,AK0094,006,AK0094-006,MEADE RIVER SCHOOL/COMMUNITY LIBRARY,00,00,00,-157.4186478,70.4753844,02,185,04500,9703,43,2,2224,0200,0,0,house,STD,NND,4001 KIPPI STREET,ATQASUK,99791,M,NORTH SLOPE,9076636315,BR,NO,800,R_14,0,R_14,480,R_14,40,R_14,2015
AK,AK0094,007,AK0094-007,HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY,00,00,00,-143.6312348,70.1291083,02,185,36990,9703,43,2,3494,0200,0,0,house,STD,NND,2001 BARTER AVENUE,KAKTOVIK,99747,M,NORTH SLOPE,9076406626,BR,NO,2880,R_14,0,R_14,480,R_14,40,R_14,2015
AK,AK0094,008,AK0094-008,NUIQSUT SCHOOL/COMMUNITY LIBRARY,00,00,00,-151.0011339,70.2231195,02,185,56320,9703,43,2,3243,0200,0,0,house,STD,NND,3310  3RD AVENUE,NUIQSUT,99789,M,NORTH SLOPE,9074806712,BR,NO,1305,R_14,0,R_14,480,R_14,40,R_14,2015
AK,AK0094,009,AK0094-009,KALI SCHOOL/COMMUNITY LIBRARY,00,00,00,-163.0165989,69.7410522,02,185,61700,9703,43,2,1110,0200,0,0,house,STD,NND,1029 QASIGIALIK STREET,POINT LAY,99759,M,NORTH SLOPE,9078332311,BR,NO,888,R_14,0,R_14,480,R_14,40,R_14,2015
AK,AK0094,010,AK0094-010,TUZZY CONSORTIUM LIBRARY,00,00,00,-156.7534146,71.2984603,02,185,05200,9703,33,1,1110,0200,0,0,house,STD,NND,5421 NORTH STAR STREET,BARROW,99723,M,NORTH SLOPE,9078524050,CE,NO,11500,R_14,0,R_14,3120,R_14,52,R_14,2015
AK,AK0095,002,AK0095-002,AKIACHAK SCHOOL/COMMUNITY LIBRARY,00,00,00,-161.825068,59.012567,02,050,61080,17868,43,1,6178,0200,0,0,street,DGL,POC,1 MAIN STREET,AKIACHAK,99551,M,BETHEL,9078253684,CE,NO,1800,R_14,0,R_14,480,R_14,48,R_14,2015
