STABR,FSCSKEY,FSCS_SEQ,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,C_MSA,SQ_FEET,F_SQ_FT,L_NUM_BM,F_BKMOB,HOURS,F_HOURS,WKS_OPEN,F_WKSOPN,YR_SUB,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,INCITSST,INCITSCO,GNISPLAC,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,ADDRTYPE,MSTATUS,SCORE
AK,AK0011,002,AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,M,KODIAK ISLAND,9074863022,CE,NO,850,R_15,0,R_15,195,R_15,39,R_15,2016,00,00,00,-152.234562,57.612147,02,150,13860,13889,43,1,3123,0200,0,M,PointAddress,E,97.359375
AK,AK0014,002,AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,M,ALEUTIANS EAST,9075322878,CE,NO,1100,R_15,0,R_15,480,R_15,48,R_15,2016,00,00,00,-162.709803,55.207101,02,013,16530,3341,43,1,1236,0200,0,M,StreetName,E,100
AK,AK0015,002,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,MILE .8 BEAN CREEK ROAD,COOPER LANDING,99572,M,KENAI PENINSULA,9075951241,CE,NO,1320,R_15,0,R_15,1092,R_15,52,R_15,2016,00,00,00,-149.805664,60.494326,02,122,17190,58059,43,3,1187,0200,0,M,Postal,E,100
AK,AK0016,002,AK0016-002,CORDOVA PUBLIC LIBRARY,622 FIRST STREET,CORDOVA,99574,M,VALDEZ-CORDOVA,9074246667,CE,NO,2800,R_15,0,R_15,2652,R_15,52,R_15,2016,00,00,00,-145.758562,60.544295,02,261,17410,9362,43,2,2036,0200,0,M,StreetAddress,E,100
AK,AK0017,003,AK0017-003,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,M,PR WALES-OUTER KE,9078263281,CE,NO,1800,R_15,0,R_15,2444,R_15,52,R_15,2016,00,00,00,-133.148393,55.474758,02,198,17740,6341,43,2,3028,0200,0,M,StreetAddress,E,100
AK,AK0018,002,AK0018-002,IPNATCHIAQ LIBRARY,59 MAIN STREET,DEERING,99736,M,NORTHWEST ARCTIC,9073632136,CE,M,375,R_15,0,R_15,500,R_15,50,R_15,2016,00,00,00,-163.490055,65.822284,02,188,M,7752,43,1,5059,0200,0,M,Postal,E,100
AK,AK0019,002,AK0019-002,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,M,SE FAIRBANK,9078954102,CE,NO,5000,R_15,0,R_15,2496,R_15,52,R_15,2016,00,00,00,-145.734637,64.04679,02,240,18620,6839,43,4,2086,0200,0,M,StreetAddress,E,100
AK,AK0020,002,AK0020-002,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576,M,DILLINGHAM,9078425610,CE,NO,2430,R_15,0,R_15,2040,R_15,52,R_15,2016,00,00,00,-158.463822,59.040686,02,070,18950,4997,43,2,2003,0200,0,M,StreetName,T,90.53125
AK,AK0021,002,AK0021-002,EAGLE PUBLIC LIBRARY,4TH AND AMUNDSEN,EAGLE,99738,M,SE FAIRBANK,9075472334,CE,NO,1500,R_15,0,R_15,713,R_15,51,R_15,2016,00,00,15,-141.202641,64.787109,02,240,20380,6839,43,1,1191,0200,0,M,Postal,E,100
AK,AK0023,002,AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591031,CE,NO,62100,R_15,0,R_15,1820,R_15,52,R_15,2016,00,00,00,-147.738638,64.838451,02,090,24230,99631,13,1,2027,0200,21820,0,StreetAddress,E,100
AK,AK0023,003,AK0023-003,NORTH POLE BRANCH LIBRARY,656 NORTH POLE HIGH SCHOOL BLVD.,NORTH POLE,99705,M,FAIRBANKS NORTH STAR,9074886101,BR,NO,18410,R_15,0,R_15,1840,R_15,46,R_15,2016,00,00,07,-147.355652,64.750582,02,090,55910,99631,23,16,2013,0200,21820,0,Postal,E,100
AK,AK0023,004,AK0023-004,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591022,BS,NO,-3,R_15,1,R_15,3224,R_15,52,R_15,2016,00,00,00,-147.738638,64.838451,02,090,24230,99631,13,1,2027,0200,21820,0,StreetAddress,E,100
AK,AK0025,002,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI ROAD,GALENA,99741,M,YUKON-KOYUKUK,9076561205,CE,NO,1500,R_15,0,R_15,750,R_15,50,R_15,2016,00,00,00,-156.88152,64.749499,02,290,27530,5533,43,3,2032,0200,0,M,StreetName,E,100
AK,AK0027,002,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,M,VALDEZ-CORDOVA,9078225427,CE,NO,2000,R_15,0,R_15,1508,R_15,52,R_15,2016,00,00,00,-145.561269,62.10946,02,261,28740,9362,43,1,2030,0200,0,M,StreetAddress,E,100
AK,AK0028,002,AK0028-002,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS MAIN ROAD,GUSTAVUS,99826,M,SKAGWAY-ANGOON,9076972350,CE,NO,3052,R_15,0,R_15,1300,R_15,52,R_15,2016,00,00,15,-137.177227,58.736309,02,105,M,2133,43,3,1000,0200,0,M,Postal,E,100
AK,AK0029,002,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,M,HAINES,9077662545,CE,NO,8400,R_15,0,R_15,3120,R_15,52,R_15,2016,00,00,00,-135.447976,59.233451,02,100,31050,2534,43,1,3013,0200,0,M,StreetAddress,E,100
AK,AK0030,002,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET,HEALY,99743,M,DENALI,9076832507,CE,NO,4560,R_15,0,R_15,1000,R_15,50,R_15,2016,00,00,00,-149.01818,63.873445,02,068,32150,1919,43,1,2506,0200,0,M,StreetAddress,E,90.90625
AK,AK0031,002,AK0031-002,HOLLIS PUBLIC LIBRARY,NO. 1 HOLLIS CHILKAT ROAD,HOLLIS,99950,M,PR WALES-OUTER KE,9075307112,CE,NO,2300,R_15,0,R_15,960,R_15,48,R_15,2016,00,00,00,-132.951791,55.929205,02,198,M,6341,43,1,1151,0200,0,M,Postal,E,100
AK,AK0032,002,AK0032-002,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,99603,7849,KENAI PENINSULA,9072353180,CE,NO,17000,R_15,0,R_15,2704,R_15,52,R_15,2016,00,00,00,-151.531835,59.643586,02,122,33140,58059,43,10,1046,0200,0,M,PointAddress,E,100
AK,AK0033,002,AK0033-002,HOPE COMMUNITY LIBRARY,18487 A AVENUE,HOPE,99605,M,KENAI PENINSULA,9077823121,CE,NO,2304,R_15,0,R_15,1050,R_15,52,R_15,2016,00,00,00,-149.64132,60.918742,02,122,33580,58059,42,3,1398,0200,0,M,PointAddress,E,100
AK,AK0035,002,AK0035-002,DOUGLAS PUBLIC LIBRARY,1016 THIRD STREET,DOUGLAS,99824,5416,JUNEAU,9073642378,BR,NO,8000,R_15,0,R_15,1872,R_15,52,R_15,2016,00,00,00,-134.395317,58.276886,02,110,36400,32756,33,6,3017,0200,27940,1,PointAddress,E,100
AK,AK0035,003,AK0035-003,MENDENHALL VALLEY PUBLIC LIBRARY,3025 DIMOND PARK LOOP,JUNEAU,99801,9672,JUNEAU,9077890125,BR,NO,20000,R_15,0,R_15,3224,R_15,52,R_15,2016,00,00,07,-134.573657,58.389717,02,110,36400,32756,33,2,3005,0200,27940,1,Postal,E,100
AK,AK0035,004,AK0035-004,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,99801,1361,JUNEAU,9075860443,CE,NO,17000,R_15,0,R_15,2349,R_15,52,R_15,2016,00,00,00,-134.404544,58.298585,02,110,36400,32756,33,5,2013,0200,27940,1,StreetAddress,E,100
AK,AK0037,002,AK0037-002,KASILOF PUBLIC LIBRARY,58231 STERLING HIGHWAY,KASILOF,99610,M,KENAI PENINSULA,9072997428,CE,NO,2553,R_15,0,R_15,735,R_15,49,R_15,2016,00,00,00,-151.266222,60.308254,02,122,16420,58059,43,7,6047,0200,0,M,PointAddress,E,100
AK,AK0038,002,AK0038-002,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,7723,KENAI PENINSULA,9072834378,CE,NO,20000,R_15,0,R_15,3045,R_15,52,R_15,2016,00,00,00,-151.246778,60.559232,02,122,38420,58059,33,6,3040,0200,0,M,PointAddress,E,100
AK,AK0039,002,AK0039-002,KETCHIKAN PUBLIC LIBRARY,1110 COPPER RIDGE LANE,KETCHIKAN,99901,6250,KETCHIKAN GATEWAY,9072253331,CE,NO,16726,R_15,0,R_15,2808,R_15,52,R_15,2016,00,00,00,-131.651304,55.349012,02,130,38970,13709,33,3,1000,0200,28540,1,PointAddress,E,100
AK,AK0040,002,AK0040-002,KODIAK PUBLIC LIBRARY,612 EGAN WAY,KODIAK,99615,6487,KODIAK ISLAND,9074868686,CE,M,16000,R_15,0,R_15,3432,R_15,52,R_15,2016,00,00,00,-152.397484,57.792622,02,150,40950,13889,33,3,2016,0200,0,M,PointAddress,E,100
AK,AK0041,002,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752,M,NORTHWEST ARCTIC,9074422410,CE,NO,1700,R_15,0,R_15,2000,R_15,50,R_15,2016,00,00,00,-162.587344,66.899306,02,188,41830,7752,33,2,2007,0200,0,M,StreetAddress,E,90.90625
AK,AK0041,003,AK0041-003,SELAWIK DAVIS RAMOTH COMMUNITY LIBRARY,2600 MUSK OX PARKWAY,SELAWIK,99770,M,NORTHWEST ARCTIC,9074842142,BR,NO,2000,R_15,0,R_15,300,R_15,30,R_15,2016,00,00,00,-159.414579,66.295539,02,188,M,7752,43,1,4054,0200,0,M,Postal,E,100
AK,AK0044,002,AK0044-002,MCGRATH COMMUNITY LIBRARY,249 F STREET,MCGRATH,99627,M,YUKON-KOYUKUK,9075243843,CE,NO,2536,R_15,0,R_15,1560,R_15,52,R_15,2016,00,00,00,-155.588852,62.949704,02,290,46010,5533,43,4,2204,0200,0,M,StreetName,E,100
AK,AK0046,002,AK0046-002,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926,M,PR WALES-OUTER KE,9078866000,CE,NO,990,R_15,0,R_15,-1,U_15,-1,U_15,2016,00,00,00,-131.5752,55.128457,02,198,48870,6341,43,9401,2010,0200,0,M,StreetInt,E,95.6875
AK,AK0047,003,AK0047-003,SOUTH NAKNEK PUBLIC LIBRARY,1 SCHOOL ROAD,SOUTH NAKNEK,99670,M,BRISTOL BAY,9072466513,BR,NO,840,R_15,0,R_15,1144,R_15,52,R_15,2016,00,00,00,-157.006375,58.73204,02,060,52060,892,43,1,1022,0200,0,M,StreetName,E,91.09375
AK,AK0047,004,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633,M,BRISTOL BAY,9072464465,CE,NO,1456,R_15,0,R_15,2080,R_15,52,R_15,2016,00,00,00,-157.006441,58.734779,02,060,52060,892,43,1,1022,0200,0,M,Postal,E,100
AK,AK0048,002,AK0048-002,NENANA PUBLIC LIBRARY,106 EAST SECOND STREET,NENANA,99760,M,YUKON-KOYUKUK,9078325812,CE,NO,2421,R_15,0,R_15,1664,R_15,52,R_15,2016,00,00,00,-149.095578,64.562392,02,290,53050,5533,43,2,2282,0200,0,M,StreetAddress,E,92.421875
AK,AK0051,002,AK0051-002,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,99639,M,KENAI PENINSULA,9075673333,CE,NO,3200,R_15,0,R_15,1456,R_15,52,R_15,2016,00,00,00,-151.674982,60.04179,02,122,54480,58059,43,8,1063,0200,0,M,PointAddress,E,100
AK,AK0052,002,AK0052-002,KEGOAYAH KOZGA LIBRARY,223 FRONT STREET,NOME,99762,M,NOME,9074436628,CE,NO,1800,R_15,0,R_15,2288,R_15,52,R_15,2016,00,00,00,-165.404168,64.497178,02,180,54920,9846,33,2,3028,0200,0,M,StreetAddress,E,100
AK,AK0053,002,AK0053-002,NORTHWAY COMMUNITY/SCHOOL LIBRARY,496 NORTHWAY ROAD,NORTHWAY,99764,M,SE FAIRBANK,9077782310,CE,NO,2562,R_15,0,R_15,-1,U_15,-1,U_15,2016,00,00,00,-141.884183,62.960966,02,240,56220,6839,43,1,1513,0200,0,M,StreetName,E,100
AK,AK0055,002,AK0055-002,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645,6667,MATANUSKA-SUSITNA,9077611371,CE,NO,11922,R_15,0,R_15,2288,R_15,52,R_15,2016,00,00,00,-149.113009,61.599781,02,170,58660,101095,32,12.01,2008,0200,11260,0,PointAddress,E,100
AK,AK0056,002,AK0056-002,PELICAN PUBLIC LIBRARY,166 SALMON WAY,PELICAN,99832,M,SKAGWAY-ANGOON,9077352500,CE,NO,1200,R_15,0,R_15,832,R_15,52,R_15,2016,00,00,00,-136.227078,57.960305,02,105,59650,2133,43,3,1215,0200,0,M,StreetName,E,100
AK,AK0057,002,AK0057-002,PETERSBURG PUBLIC LIBRARY,14 SOUTH SECOND STREET,PETERSBURG,99833,M,WRANGELL-PETERSBU,9077723349,CE,M,9700,R_15,0,R_15,2912,R_15,52,R_15,2016,00,00,00,-132.95473,56.81128,02,195,60310,3177,43,2,2025,0200,0,M,StreetAddress,E,92.421875
AK,AK0058,002,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,99550,M,KODIAK ISLAND,9074542332,CE,NO,1360,R_15,0,R_15,780,R_15,52,R_15,2016,00,00,00,-152.883859,57.866332,02,150,63610,13889,43,1,2439,0200,0,M,StreetAddress,E,100
AK,AK0061,002,AK0061-002,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,930 TOLSTOI BOULEVARD,ST. PAUL,99660,M,ALEUTIANS WEST,9075463324,CE,NO,1280,R_15,0,R_15,960,R_15,48,R_15,2016,00,00,00,-170.283949,57.12614,02,016,66470,5702,43,1,1457,0200,0,M,StreetName,E,100
AK,AK0064,002,AK0064-002,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,99663,M,KENAI PENINSULA,9072347662,CE,NO,2791,R_15,0,R_15,1026,R_15,52,R_15,2016,00,00,00,-151.714654,59.438738,02,122,68340,58059,43,12,1314,0200,0,M,StreetAddress,E,100
AK,AK0065,002,AK0065-002,SEWARD COMMUNITY LIBRARY AND MUSEUM,239 6TH AVENUE,SEWARD,99664,M,KENAI PENINSULA,9072244082,CE,M,22542,R_15,0,R_15,2808,R_15,52,R_15,2016,00,06,00,-149.437275,60.102509,02,122,68560,58059,43,13,2083,0200,0,M,PointAddress,E,100
AK,AK0067,002,AK0067-002,SITKA PUBLIC LIBRARY,320 HARBOR DRIVE,SITKA,99835,7553,SITKA,9077478708,CE,NO,6200,R_15,0,R_15,3266,R_15,46,R_15,2016,00,06,00,-135.334131,57.049692,02,220,70540,8863,41,2,4027,0200,0,M,PointAddress,E,100
AK,AK0068,002,AK0068-002,SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,99840,M,SKAGWAY-ANGOON,9079832665,CE,NO,5014,R_15,0,R_15,2264,R_15,52,R_15,2016,00,00,00,-135.313851,59.457578,02,230,70760,1057,43,1,1143,0200,0,M,StreetAddress,E,100
AK,AK0069,002,AK0069-002,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,235 NORTH BINKLEY ST.,SOLDOTNA,99669,7523,KENAI PENINSULA,9072624227,CE,M,21054,R_15,0,R_15,2704,R_15,52,R_15,2016,00,00,00,-151.072406,60.492329,02,122,71640,58059,33,5,3040,0200,0,M,PointAddress,E,100
AK,AK0070,002,AK0070-002,SUTTON PUBLIC LIBRARY,11301 NORTH CHICKALOON WAY,SUTTON,99674,M,MATANUSKA-SUSITNA,9078617640,CE,NO,6258,R_15,0,R_15,2132,R_15,52,R_15,2016,00,06,00,-148.877393,61.71099,02,170,74525,101095,42,2,1019,0200,11260,0,PointAddress,E,100
AK,AK0072,002,AK0072-002,TALKEETNA PUBLIC LIBRARY,24645 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,99676,M,MATANUSKA-SUSITNA,9077332359,CE,NO,2590,R_15,0,R_15,2184,R_15,52,R_15,2016,00,00,07,-150.082461,62.298386,02,170,74830,101095,43,1.02,1041,0200,11260,0,PointAddress,E,100
AK,AK0073,002,AK0073-002,TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET,TANANA,99777,M,YUKON-KOYUKUK,9073667356,CE,NO,848,R_15,0,R_15,510,R_15,51,R_15,2016,00,00,00,-152.080839,65.170496,02,290,75160,5533,43,2,1440,0200,0,M,StreetName,E,100
AK,AK0074,002,AK0074-002,DERMOTT O`TOOLE MEMORIAL LIBRARY,707 WEST TENAKEE AVENUE,TENAKEE SPRINGS,99841,M,SKAGWAY-ANGOON,9077362248,CE,NO,896,R_15,0,R_15,716,R_15,50,R_15,2016,00,00,00,-135.210892,57.777428,02,105,76260,2133,43,3,3359,0200,0,M,StreetAddress,E,92.421875
AK,AK0075,002,AK0075-002,TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,99780,M,SE FAIRBANK,9078835623,CE,NO,960,R_15,0,R_15,1716,R_15,52,R_15,2016,00,00,00,-142.982127,63.335579,02,240,77800,6839,43,1,2084,0200,0,M,StreetAddress,E,100
AK,AK0077,002,AK0077-002,VALDEZ CONSORTIUM LIBRARY,212 FAIRBANKS DRIVE,VALDEZ,99686,M,VALDEZ-CORDOVA,9078354632,CE,NO,15000,R_15,0,R_15,2860,R_15,52,R_15,2016,00,00,00,-146.354509,61.129889,02,261,82200,9362,43,3,5017,0200,0,M,StreetAddress,E,100
AK,AK0078,002,AK0078-002,WASILLA PUBLIC LIBRARY,391 NORTH MAIN STREET,WASILLA,99654,7021,MATANUSKA-SUSITNA,9073765913,CE,NO,7687,R_15,0,R_15,2080,R_15,52,R_15,2016,00,00,00,-149.441433,61.58298,02,170,83080,101095,32,8,3032,0200,11260,0,PointAddress,E,100
AK,AK0080,002,AK0080-002,WILLOW PUBLIC LIBRARY,23557 WEST WILLOW COMMUNITY CENTER,WILLOW,99688,M,MATANUSKA-SUSITNA,9074957323,CE,NO,4111,R_15,0,R_15,2392,R_15,52,R_15,2016,00,00,00,-150.043355,61.738182,02,170,85280,101095,43,4.02,2044,0200,11260,0,Postal,E,100
AK,AK0081,002,AK0081-002,IRENE INGLE PUBLIC LIBRARY,124 SECOND STREET,WRANGELL,99929,M,WRANGELL,9078743535,CE,NO,5930,R_15,0,R_15,1976,R_15,52,R_15,2016,00,00,00,-132.386964,56.473191,02,275,86380,2382,43,3,2008,0200,0,M,StreetAddress,E,100
AK,AK0082,002,AK0082-002,AKIAK SCHOOL/COMMUNITY LIBRARY,1 KILBUCK ROAD,AKIAK,99552,M,BETHEL,9077654631,CE,NO,2500,R_15,0,R_15,-1,U_15,-1,U_15,2016,00,00,00,-161.19229,60.885689,02,050,M,17946,43,1,3121,0200,0,M,Postal,E,100
AK,AK0085,004,AK0085-002,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,99573,M,VALDEZ-CORDOVA,9078223015,CE,NO,1440,R_15,0,R_15,780,R_15,52,R_15,2016,00,00,00,-144.434771,61.577439,02,261,14110,9362,43,1,4129,0200,0,M,StreetAddress,E,95.390625
AK,AK0087,002,AK0087-002,KOYUK PUBLIC LIBRARY,3RD AND BIRCH STREET,KOYUK,99753,M,NOME,9079633971,CE,NO,1000,R_15,0,R_15,500,R_15,50,R_15,2016,00,00,00,-161.166658,64.930677,02,180,41940,9846,43,1,3186,0200,0,M,StreetInt,E,95.6875
AK,AK0091,002,AK0091-002,TULUKSAK SCHOOL/COMMUNITY LIBRARY,1 PHILLIP STREET,TULUKSAK,99679,M,BETHEL,9076955630,CE,NO,1495,R_15,0,R_15,-1,U_15,-1,U_15,2016,00,00,00,-160.173565,60.735224,02,050,M,17946,43,1,3116,0200,0,M,Postal,E,100
AK,AK0094,003,AK0094-003,ALAK COMMUNITY/SCHOOL LIBRARY,567 MAIN STREET,WAINWRIGHT,99782,M,NORTH SLOPE,9077632541,BR,NO,2225,R_15,0,R_15,456,R_15,38,R_15,2016,00,00,00,-160.029995,70.638212,02,185,82750,9687,43,2,2248,0200,0,M,StreetName,E,100
AK,AK0094,004,AK0094-004,TIKIGAK SCHOOL/COMMUNITY LIBRARY,1837 TIKIGAQ AVENUE,POINT HOPE,99766,M,NORTH SLOPE,9073682662,BR,NO,2849,R_15,0,R_15,372,R_15,31,R_15,2016,00,00,00,-166.783258,68.347301,02,185,61630,9687,43,2,1064,0200,0,M,StreetName,E,100
AK,AK0094,005,AK0094-005,NUNAMIUT SCHOOL/COMMUNITY LIBRARY,114 ILLINOIS AVENUE,ANAKTUVUK PASS,99721,M,NORTH SLOPE,9076613226,BR,NO,1230,R_15,0,R_15,504,R_15,42,R_15,2016,00,00,00,-151.73117,68.146899,02,185,02080,9687,43,2,3224,0200,0,M,StreetAddress,E,90.90625
AK,AK0094,006,AK0094-006,MEADE RIVER SCHOOL/COMMUNITY LIBRARY,4001 KIPPI STREET,ATQASUK,99791,M,NORTH SLOPE,9076636315,BR,NO,800,R_15,0,R_15,216,R_15,18,R_15,2016,00,00,00,-157.418819,70.48064,02,185,04500,9687,43,2,2221,0200,0,M,StreetAddress,E,100
AK,AK0094,007,AK0094-007,HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY,2001 BARTER AVENUE,KAKTOVIK,99747,M,NORTH SLOPE,9076406626,BR,NO,2880,R_15,0,R_15,372,R_15,31,R_15,2016,00,00,00,-143.616861,70.129257,02,185,36990,9687,43,2,3083,0200,0,M,StreetName,E,100
AK,AK0094,008,AK0094-008,NUIQSUT TRAPPER SCHOOL/COMMUNITY LIBRARY,3310  3RD AVENUE,NUIQSUT,99789,M,NORTH SLOPE,9074806712,BR,NO,1305,R_15,0,R_15,420,R_15,35,R_15,2016,00,06,00,-151.004264,70.221678,02,185,56320,9687,43,2,3464,0200,0,M,StreetName,E,88.640625
AK,AK0094,009,AK0094-009,KALI COMMUNITY/SCHOOL LIBRARY,1029 QASIGIALIK STREET,POINT LAY,99759,M,NORTH SLOPE,9078332311,BR,NO,888,R_15,0,R_15,480,R_15,48,R_15,2016,00,06,00,-163.018032,69.74659,02,185,61700,9687,43,2,1033,0200,0,M,StreetName,E,100
AK,AK0094,010,AK0094-010,TUZZY CONSORTIUM LIBRARY,5421 NORTH STAR STREET,BARROW,99723,M,NORTH SLOPE,9078524050,CE,NO,11500,R_15,0,R_15,3120,R_15,52,R_15,2016,00,00,00,-156.745752,71.300053,02,185,05200,9687,33,1,1104,0200,0,M,StreetName,E,100
AK,AK0095,002,AK0095-002,AKIACHAK SCHOOL/COMMUNITY LIBRARY,1 MAIN STREET,AKIACHAK,99551,M,BETHEL,9078253684,CE,NO,1800,R_15,0,R_15,-1,U_15,-1,U_15,2016,00,00,00,-161.420534,60.900132,02,050,00760,17946,43,1,3164,0200,0,M,StreetName,E,100
