STABR,FSCSKEY,FSCS_SEQ,C_FSCS,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,SQ_FEET,F_SQ_FT,L_NUM_BM,HOURS,F_HOURS,WKS_OPEN,F_WKSOPN,YR_SUB,OBEREG,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,INCITSST,INCITSCO,GNISPLAC,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GEOSTATUS,GEOSCORE,GEOMTYPE,C19WKSCL,C19WKSLO
AK,AK0011,002,N,AK0011-002,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,M,KODIAK ISLAND,-4,CE,1440,R_21,0,576,R_21,49,R_21,2022,08,00,00,00,-152.2335921,57.6122436,02,150,13860,12787,43,1,3035,0200,-4,N,E,99.9,STREETADDRESS,0,0
AK,AK0014,002,Y,AK0014-002,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,M,ALEUTIANS EAST,9075322878,CE,1623,R_21,0,576,R_21,48,R_21,2022,08,00,00,00,-162.7150695,55.2065854,02,013,16530,3398,43,1,1178,0200,-4,N,E,100,MANUAL,4,0
AK,AK0015,002,N,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,18511 BEAN CREEK ROAD,COOPER LANDING,99572,M,KENAI PENINSULA,9075951241,CE,1320,R_21,0,130,R_21,13,R_21,2022,08,00,00,00,-149.8238238,60.493989,02,122,17190,59767,43,3,1133,0200,-4,N,E,100,POINTADDRESS,39,13
AK,AK0016,002,Y,AK0016-002,CORDOVA PUBLIC LIBRARY,601 FIRST STREET,CORDOVA,99574,1743,VALDEZ-CORDOVA,9074246667,CE,5652,R_21,0,1202,R_21,34,R_21,2022,08,00,00,00,-145.7584917,60.5444044,02,063,17410,6941,43,2,2010,0200,-4,N,E,100,MANUAL,9,12
AK,AK0017,003,Y,AK0017-003,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,M,PR WALES-OUTER KE,9078263281,CE,1800,R_21,0,1308,R_21,44,R_21,2022,08,00,00,00,-133.1514427,55.4760787,02,198,17740,5729,43,2,3031,0200,-4,N,E,96.5,STREETADDRESS,8,32
AK,AK0018,002,N,AK0018-002,IPNATCHIAQ LIBRARY,59 MAIN STREET,DEERING,99736,M,NORTHWEST ARCTIC,-3,CE,-3,U_21,-3,-3,U_21,-3,U_21,2022,08,23,00,00,-162.7196162,66.0748588,02,188,18510,7560,43,1,5078,0200,-4,N,E,100,MANUAL,-3,-3
AK,AK0019,002,Y,AK0019-002,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,M,SE FAIRBANK,9078954102,CE,5000,R_21,0,2350,R_21,46,R_21,2022,08,00,00,00,-145.734613,64.0468044,02,240,18620,6970,43,4,1070,0200,-4,N,E,97.87,STREETADDRESS,6,32
AK,AK0020,002,Y,AK0020-002,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576,M,DILLINGHAM,9078425610,CE,2430,R_21,0,1040,R_21,29,R_21,2022,08,00,00,00,-158.4634525,59.0406409,02,070,18950,4772,43,2,1020,0200,-4,N,E,99.04,STREETADDRESS,23,29
AK,AK0021,002,Y,AK0021-002,EAGLE PUBLIC LIBRARY,4TH & AMUNDSEN,EAGLE,99738,M,SE FAIRBANK,9075472334,CE,1500,R_21,0,510,R_21,51,R_21,2022,08,00,00,00,-141.2084499,64.78697,02,240,20380,6970,43,1,1051,0200,-4,N,E,95.12,STREETINT,0,0
AK,AK0023,002,Y,AK0023-002,BOOKMOBILE,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591031,BS,-4,N_21,1,1739,R_21,52,R_21,2022,08,00,00,00,-147.7384145,64.8387296,02,090,24230,95593,13,1,2027,0200,21820,0,E,100,POINTADDRESS,0,49
AK,AK0023,003,Y,AK0023-003,NORTH POLE BRANCH LIBRARY,656 NORTH POLE HIGH SCHOOL BLVD.,NORTH POLE,99705,M,FAIRBANKS NORTH STAR,9074886101,BR,18410,R_21,0,1859,R_21,52,R_21,2022,08,00,00,00,-147.36566,64.74791,02,090,55910,95593,23,16,2042,0200,21820,0,E,93,POI,0,49
AK,AK0023,004,Y,AK0023-004,FAIRBANKS NORTH STAR PUBLIC LIBRARY,1215 COWLES STREET,FAIRBANKS,99701,4313,FAIRBANKS NORTH STAR,9074591022,CE,70456,R_21,0,2246,R_21,52,R_21,2022,08,00,00,00,-147.7384145,64.8387296,02,090,24230,95593,13,1,2027,0200,21820,0,E,100,POINTADDRESS,0,49
AK,AK0025,002,Y,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI ROAD,GALENA,99741,M,YUKON-KOYUKUK,9076561205,CE,1500,R_21,0,750,R_21,50,R_21,2022,08,00,00,00,-156.8815216,64.7495017,02,290,27530,5275,43,3,2017,0200,-4,N,E,100,MANUAL,2,2
AK,AK0027,002,N,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,M,VALDEZ-CORDOVA,9078225427,CE,2000,R_21,0,0,R_21,0,R_21,2022,08,00,00,00,-145.56129,62.10949,02,066,28740,2630,43,1,1228,0200,-4,N,E,100,DISTANCEMARKER,52,0
AK,AK0028,002,Y,AK0028-002,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD,GUSTAVUS,99826,M,SKAGWAY-ANGOON,9076972350,CE,3052,R_21,0,1000,R_21,23,R_21,2022,08,00,00,00,-135.7116901,58.4185422,02,105,30940,2332,43,4,3146,0200,-4,N,E,100,MANUAL,29,6
AK,AK0029,002,Y,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,M,HAINES,9077662545,CE,8400,R_21,0,2288,R_21,50,R_21,2022,08,00,00,00,-135.4477853,59.2342209,02,100,31050,2071,43,1,3009,0200,-4,N,E,100,STREETADDRESS,2,3
AK,AK0030,002,Y,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET,HEALY,99743,M,DENALI,9076832507,CE,4560,R_21,0,-1,M_21,40,R_21,2022,08,00,00,00,-149.0181333,63.8734183,02,068,32150,1593,43,1,2178,0200,-4,N,E,98.34,STREETADDRESS,8,40
AK,AK0031,002,N,AK0031-002,HOLLIS PUBLIC LIBRARY,NO. 1 HOLLIS CHILKAT ROAD,HOLLIS,99950,M,PR WALES-OUTER KE,9075307112,CE,2300,R_21,0,903,R_21,42,R_21,2022,08,00,00,00,-132.6490406,55.4822294,02,198,32810,5729,43,1,3460,0200,-4,N,E,100,MANUAL,0,0
AK,AK0032,002,Y,AK0032-002,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,99603,7849,KENAI PENINSULA,9072353180,CE,17000,R_21,0,1320,R_21,33,R_21,2022,08,00,00,00,-151.531634,59.6435451,02,122,33140,59767,43,10,3006,0200,-4,N,E,100,POINTADDRESS,19,19
AK,AK0033,002,N,AK0033-002,HOPE COMMUNITY LIBRARY,18487 A AVENUE,HOPE,99605,M,KENAI PENINSULA,9077823121,CE,2304,R_21,0,936,R_21,52,R_21,2022,08,00,00,00,-149.6412992,60.9187112,02,122,33580,59767,42,3,1050,0200,-4,N,E,100,STREETADDRESS,0,0
AK,AK0035,002,Y,AK0035-002,DOUGLAS PUBLIC LIBRARY,1016 THIRD STREET,DOUGLAS,99824,5416,JUNEAU,9073642378,BR,8000,R_21,0,1805,R_21,39,R_21,2022,08,00,00,00,-134.3952571,58.2768534,02,110,36400,31973,33,6,2031,0200,27940,1,E,100,POINTADDRESS,13,39
AK,AK0035,003,Y,AK0035-003,MENDENHALL VALLEY PUBLIC LIBRARY,3025 DIMOND PARK LOOP,JUNEAU,99801,M,JUNEAU,9077890125,BR,20000,R_21,0,2123,R_21,39,R_21,2022,08,00,00,00,-134.5892619,58.3777983,02,110,36400,31973,33,2,4007,0200,27940,1,E,100,MANUAL,13,39
AK,AK0035,004,Y,AK0035-004,DOWNTOWN PUBLIC LIBRARY,292 MARINE WAY,JUNEAU,99801,M,JUNEAU,9075865249,CE,17000,R_21,0,2020,R_21,37,R_21,2022,08,00,00,00,-134.4045093,58.2985496,02,110,36400,31973,33,5,2006,0200,27940,1,E,100,STREETADDRESS,15,37
AK,AK0037,002,Y,AK0037-002,KASILOF PUBLIC LIBRARY,58231 STERLING HIGHWAY,KASILOF,99610,9626,KENAI PENINSULA,9072525886,CE,-1,M_21,0,-1,M_21,-1,M_21,2022,08,25,00,00,-151.26127,60.308007,02,122,16420,59767,43,7.01,3071,0200,-4,N,E,100,POINTADDRESS,-1,-1
AK,AK0038,002,Y,AK0038-002,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,7723,KENAI PENINSULA,9072834378,CE,20000,R_21,0,2330,R_21,44,R_21,2022,08,00,00,00,-151.2486134,60.5597341,02,122,38420,59767,33,6,5033,0200,-4,N,E,100,POINTADDRESS,8,44
AK,AK0039,002,Y,AK0039-002,KETCHIKAN PUBLIC LIBRARY,1110 COPPER RIDGE LANE,KETCHIKAN,99901,6250,KETCHIKAN GATEWAY,9072253331,CE,16726,R_21,0,2204,R_21,38,R_21,2022,08,00,00,00,-131.6513884,55.3492315,02,130,38970,13754,33,3,1000,0200,28540,1,E,100,POINTADDRESS,14,28
AK,AK0040,002,Y,AK0040-002,KODIAK PUBLIC LIBRARY,612 EGAN WAY,KODIAK,99615,6487,KODIAK ISLAND,9074868686,CE,-1,M_21,0,-1,M_21,-1,M_21,2022,08,25,00,00,-152.397723,57.7926192,02,150,40950,12787,33,3,2009,0200,-4,N,E,100,POINTADDRESS,-1,-1
AK,AK0041,002,Y,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752,M,NORTHWEST ARCTIC,9074422410,CE,1700,R_21,0,2010,R_21,48,R_21,2022,08,00,00,00,-162.5873743,66.8993403,02,188,41830,7560,33,2,1009,0200,-4,N,E,98.34,STREETADDRESS,2,0
AK,AK0044,002,Y,AK0044-002,MCGRATH COMMUNITY LIBRARY,249 F STREET,MCGRATH,99627,M,YUKON-KOYUKUK,9075243843,CE,2536,R_21,0,200,R_21,40,R_21,2022,08,00,00,00,-155.5889643,62.9499387,02,290,46010,5275,43,4,1288,0200,-4,N,E,100,MANUAL,12,8
AK,AK0046,002,Y,AK0046-002,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926,M,PR WALES-OUTER KE,9078866000,CE,990,R_21,0,940,R_21,47,R_21,2022,08,00,00,00,-131.5751999,55.1284601,02,198,48870,5729,43,9401,2010,0200,-4,N,E,96.49,STREETINT,3,4
AK,AK0047,003,Y,AK0047-003,SOUTH NAKNEK PUBLIC LIBRARY,1 SCHOOL ROAD,SOUTH NAKNEK,99670,M,BRISTOL BAY,9072466513,BR,840,R_21,0,-1,M_21,-1,M_21,2022,08,25,00,00,-157.0072593,58.7305945,02,060,52060,838,43,1,1003,0200,-4,N,E,100,MANUAL,-1,-1
AK,AK0047,004,Y,AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633,M,BRISTOL BAY,9072464465,CE,1456,R_21,0,-1,M_21,-1,M_21,2022,08,25,00,00,-157.0169374,58.7274076,02,060,52060,838,43,1,1066,0200,-4,N,E,100,MANUAL,-1,-1
AK,AK0048,002,N,AK0048-002,NENANA PUBLIC LIBRARY,106 EAST 2ND STREET,NENANA,99760,M,YUKON-KOYUKUK,9078325812,CE,2421,IP20,0,-1,M_21,50,R_21,2022,08,00,00,00,-149.0956459,64.5623627,02,290,53050,5275,43,2,2188,0200,-4,N,E,99.04,STREETADDRESS,0,0
AK,AK0051,002,Y,AK0051-002,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,99639,9712,KENAI PENINSULA,9075673333,CE,3200,R_21,0,780,R_21,52,R_21,2022,08,00,00,00,-151.6747847,60.0421959,02,122,54480,59767,43,8,1043,0200,-4,N,E,100,POINTADDRESS,0,8
AK,AK0052,002,Y,AK0052-002,KEGOAYAH KOZGA LIBRARY,100 WEST 7TH AVENUE,NOME,99762,M,NOME,9074436628,CE,3086,R_21,0,0,R_21,0,R_21,2022,08,00,00,00,-165.3981394,64.5026594,02,180,54920,9865,33,2,3001,0200,-4,N,E,100,MANUAL,52,-1
AK,AK0055,002,Y,AK0055-002,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645,6667,MATANUSKA-SUSITNA,9077611371,CE,11922,R_21,0,1452,R_21,33,R_21,2022,08,00,00,00,-149.1129256,61.6000114,02,170,58660,110686,32,12.01,2006,0200,11260,0,E,100,POINTADDRESS,19,33
AK,AK0056,002,Y,AK0056-002,PELICAN PUBLIC LIBRARY,166 SALMON WAY,PELICAN,99832,M,SKAGWAY-ANGOON,9077352500,CE,1200,R_21,0,700,R_21,50,R_21,2022,08,00,00,00,-136.2315449,57.9603508,02,105,59650,2332,43,4,3281,0200,-4,N,E,96.67,STREETADDRESS,0,0
AK,AK0057,002,Y,AK0057-002,PETERSBURG PUBLIC LIBRARY,14 SOUTH SECOND STREET,PETERSBURG,99833,M,WRANGELL-PETERSBU,9077723349,CE,9700,R_21,0,1840,R_21,40,R_21,2022,08,00,00,00,-132.9550539,56.8109631,02,195,60310,3356,43,2,2021,0200,-4,N,E,96.92,STREETADDRESS,12,0
AK,AK0058,002,Y,AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,99550,M,KODIAK ISLAND,9074542012,CE,1360,R_21,0,780,R_21,44,R_21,2022,08,00,00,00,-152.8837465,57.8663839,02,150,63610,12787,43,1,2283,0200,-4,N,E,100,POINTADDRESS,8,44
AK,AK0061,002,N,AK0061-002,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,930 TOLSTOI BOULEVARD,ST. PAUL,99660,M,ALEUTIANS WEST,-3,CE,-3,U_21,-3,-3,U_21,-3,U_21,2022,08,23,00,00,-170.2796199,57.1207837,02,016,66470,5059,43,1,1403,0200,-4,N,E,100,MANUAL,-3,-3
AK,AK0064,002,N,AK0064-002,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,99663,M,KENAI PENINSULA,9072347662,CE,2791,R_21,0,350,R_21,52,R_21,2022,08,00,00,00,-151.7146025,59.4387226,02,122,68340,59767,43,12,1247,0200,-4,N,E,100,STREETADDRESS,0,25
AK,AK0065,002,Y,AK0065-002,SEWARD COMMUNITY LIBRARY & MUSEUM,239 6TH AVENUE,SEWARD,99664,M,KENAI PENINSULA,9072244082,CE,22542,R_21,0,1005,R_21,39,R_21,2022,08,00,00,00,-149.4372455,60.1025088,02,122,68560,59767,43,13,2016,0200,-4,N,E,100,POINTADDRESS,13,39
AK,AK0067,002,Y,AK0067-002,SITKA PUBLIC LIBRARY,320 HARBOR DRIVE,SITKA,99835,7553,SITKA,9077478708,CE,9920,R_21,0,2392,R_21,52,R_21,2022,08,00,00,00,-135.3339472,57.0497573,02,220,70540,8407,41,2,4016,0200,-4,N,E,100,POINTADDRESS,0,0
AK,AK0068,002,Y,AK0068-002,SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,99840,M,SKAGWAY-ANGOON,9079832665,CE,5014,R_21,0,1846,R_21,49,R_21,2022,08,00,00,00,-135.3138967,59.4576019,02,230,70760,1132,43,1,1089,0200,-4,N,E,98.54,STREETADDRESS,3,23
AK,AK0069,002,Y,AK0069-002,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,235 NORTH BINKLEY ST.,SOLDOTNA,99669,7523,KENAI PENINSULA,9072624227,CE,21054,R_21,0,2704,R_21,43,R_21,2022,08,00,00,00,-151.0723854,60.4923396,02,122,71640,59767,33,5,5027,0200,-4,N,E,100,POINTADDRESS,9,9
AK,AK0070,002,Y,AK0070-002,SUTTON PUBLIC LIBRARY,11301 NORTH CHICKALOON WAY,SUTTON,99674,M,MATANUSKA-SUSITNA,9078617640,CE,6258,R_21,0,2084,R_21,52,R_21,2022,08,00,00,00,-148.8774072,61.7110252,02,170,74525,110686,42,2,1001,0200,11260,0,E,100,STREETADDRESS,0,52
AK,AK0071,001,Y,AK0071-002,TAKOTNA COMMUNITY/SCHOOL LIBRARY,1 RIVER ROAD,TAKOTNA,99675,M,YUKON-KOYUKUK,9072982229,CE,-1,M_21,0,-1,M_21,-1,M_21,2022,08,25,00,15,-156.0649294,62.9881924,02,290,74610,5275,43,4,1109,0200,-4,N,E,97.9,POSTAL,-1,-1
AK,AK0072,002,Y,AK0072-002,TALKEETNA PUBLIC LIBRARY,24645 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,99676,M,MATANUSKA-SUSITNA,9078617645,CE,7840,R_21,0,2184,R_21,52,R_21,2022,08,00,00,00,-150.0840522,62.2989572,02,170,74830,110686,43,1.02,1000,0200,11260,0,E,100,STREETADDRESS,0,3
AK,AK0073,002,Y,AK0073-002,TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET,TANANA,99777,M,YUKON-KOYUKUK,9073667356,CE,848,R_21,0,-1,M_21,-1,M_21,2022,08,25,00,00,-152.0816283,65.1705465,02,290,75160,5275,43,2,1302,0200,-4,N,E,98.16,STREETNAME,-1,-1
AK,AK0074,002,Y,AK0074-002,DERMOTT O`TOOLE MEMORIAL LIBRARY,707 WEST TENAKEE AVENUE,TENAKEE SPRINGS,99841,M,SKAGWAY-ANGOON,9077362248,CE,896,R_21,0,360,R_21,36,R_21,2022,08,00,00,00,-135.2348273,57.783945,02,105,76260,2332,43,4,2211,0200,-4,N,E,100,MANUAL,15,36
AK,AK0075,002,N,AK0075-002,TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,99780,M,SE FAIRBANK,9078835623,CE,1019,R_21,0,770,R_21,48,R_21,2022,08,00,00,00,-142.98035,63.33543,02,240,77800,6970,43,1,2043,0200,-4,N,E,97.56,DISTANCEMARKER,4,36
AK,AK0077,002,Y,AK0077-002,VALDEZ CONSORTIUM LIBRARY,212 FAIRBANKS DRIVE,VALDEZ,99686,M,VALDEZ-CORDOVA,9078354632,CE,15000,R_21,0,2860,R_21,45,R_21,2022,08,00,00,00,-146.3544579,61.1298628,02,063,82200,6941,43,3,1023,0200,-4,N,E,100,STREETADDRESS,7,20
AK,AK0078,002,Y,AK0078-002,WASILLA PUBLIC LIBRARY,500 N CRUSEY STREET,WASILLA,99654,7189,MATANUSKA-SUSITNA,9073765913,CE,24400,R_21,0,1800,R_21,45,R_21,2022,08,00,00,00,-149.4296874,61.58386,02,170,83080,110686,32,8,3024,0200,11260,0,E,100,POINTADDRESS,7,0
AK,AK0080,002,Y,AK0080-002,WILLOW PUBLIC LIBRARY,23557 WEST WILLOW COMMUNITY CENTER,WILLOW,99688,M,MATANUSKA-SUSITNA,9074957323,CE,1500,R_21,0,2392,R_21,52,R_21,2022,08,00,00,00,-150.051764,61.7450956,02,170,85280,110686,43,4.02,2032,0200,11260,0,E,100,MANUAL,0,0
AK,AK0081,002,Y,AK0081-002,IRENE INGLE PUBLIC LIBRARY,124 SECOND STREET,WRANGELL,99929,M,WRANGELL,9078743535,CE,5930,R_21,0,1040,R_21,52,R_21,2022,08,00,00,00,-132.386882,56.4731814,02,275,86380,2055,43,3,2027,0200,-4,N,E,100,STREETADDRESS,0,52
AK,AK0085,004,N,AK0085-002,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,99573,M,VALDEZ-CORDOVA,9078223015,CE,1440,R_21,0,555,R_21,37,R_21,2022,08,00,00,00,-145.0076808,61.7273501,02,066,38910,2630,43,1,2045,0200,-4,N,E,100,MANUAL,15,37
AK,AK0094,003,Y,AK0094-003,ALAK COMMUNITY/SCHOOL LIBRARY,567 MAIN STREET,WAINWRIGHT,99782,M,NORTH SLOPE,9077632541,BR,2225,R_21,0,-1,M_21,-1,M_21,2022,08,00,00,00,-160.0329162,70.6371439,02,185,82750,10972,43,2,2182,0200,-4,N,E,98.9,STREETADDRESSEXT,-1,-1
AK,AK0094,004,Y,AK0094-004,TIKIGAK SCHOOL/COMMUNITY LIBRARY,1837 TIKIGAQ AVENUE,POINT HOPE,99766,M,NORTH SLOPE,9073682662,BR,2849,R_21,0,-1,M_21,-1,M_21,2022,08,00,00,00,-166.731772,68.3493853,02,185,61630,10972,43,2,1075,0200,-4,N,E,96.74,STREETNAME,-1,-1
AK,AK0094,005,Y,AK0094-005,NUNAMIUT SCHOOL/COMMUNITY LIBRARY,114 ILLINOIS AVENUE,ANAKTUVUK PASS,99721,M,NORTH SLOPE,9076613226,BR,1230,R_21,0,-1,M_21,-1,M_21,2022,08,00,00,00,-151.7387799,68.1403601,02,185,02080,10972,43,2,3291,0200,-4,N,E,98.34,STREETADDRESS,-1,-1
AK,AK0094,006,Y,AK0094-006,MEADE RIVER SCHOOL/COMMUNITY LIBRARY,4001 KIPPI STREET,ATQASUK,99791,M,NORTH SLOPE,9076636315,BR,800,R_21,0,-1,M_21,-1,M_21,2022,08,00,00,00,-157.4193599,70.4806606,02,185,04500,10972,43,2,2148,0200,-4,N,E,100,STREETADDRESS,-1,-1
AK,AK0094,007,Y,AK0094-007,HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY,2001 BARTER AVENUE,KAKTOVIK,99747,M,NORTH SLOPE,9076406626,BR,2880,R_21,0,-1,M_21,-1,M_21,2022,08,00,00,00,-143.6214731,70.130339,02,185,M,10972,43,2,3008,0200,-4,N,E,100,POINTADDRESS,-1,-1
AK,AK0094,008,Y,AK0094-008,NUIQSUT TRAPPER SCHOOL/COMMUNITY LIBRARY,3310 3RD AVENUE,NUIQSUT,99789,M,NORTH SLOPE,9074806712,BR,1305,R_21,0,-1,M_21,-1,M_21,2022,08,00,00,00,-150.9988117,70.2185689,02,185,56320,10972,43,2,3347,0200,-4,N,E,96.22,STREETNAME,-1,-1
AK,AK0094,009,Y,AK0094-009,KALI COMMUNITY/SCHOOL LIBRARY,1029 QASIGIALIK STREET,POINT LAY,99759,M,NORTH SLOPE,9078332311,BR,888,R_21,0,-1,M_21,-1,M_21,2022,08,00,00,00,-163.0113935,69.7418696,02,185,61700,10972,43,2,1001,0200,-4,N,E,96.89,STREETNAME,-1,-1
AK,AK0094,010,Y,AK0094-010,TUZZY CONSORTIUM LIBRARY,5421 NORTH STAR STREET,BARROW,99723,M,NORTH SLOPE,9078524050,CE,11500,R_21,0,640,R_21,36,R_21,2022,08,00,00,00,-156.7546645,71.2981587,02,185,81920,10972,41,1,1069,0200,-4,N,T,96.67,STREETNAME,16,20
AK,AK0099,002,Y,AK0099-002,MOOSE PASS PUBLIC LIBRARY,33675 DEPOT ROAD,MOOSE PASS,99631,M,KENAI PENINSULA,9072883111,CE,1200,R_21,0,708,R_21,51,R_21,2022,08,00,00,15,-149.3697429,60.4877586,02,122,50190,59767,43,3,1199,0200,-4,N,E,100,STREETADDRESS,0,0
AK,AK0100,001,Y,AK0100-002,TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY,9127 MAIN STREET,NIKOLAI,99691,M,YUKON-KOYUKUK,9072932427,CE,1640,R_21,0,-1,M_21,-1,M_21,2022,08,25,00,00,-154.374673,63.0134727,02,290,54150,5275,43,4,1143,0200,-4,N,E,100,MANUAL,-1,-1
