"Company","City","State","County","Latitude","Longitude","Median.Home.Price"
NA,NA,"Missouri","Clay",NA,NA,311430
NA,NA,"Missouri","Clinton",NA,NA,237100
NA,NA,"Missouri","Cole",NA,NA,278030
NA,NA,"Missouri","Cooper",NA,NA,211800
NA,NA,"Missouri","Crawford",NA,NA,179520
NA,NA,"Missouri","Dade",NA,NA,177560
NA,NA,"Missouri","Dallas",NA,NA,198740
NA,NA,"Missouri","Daviess",NA,NA,168400
NA,NA,"Missouri","DeKalb",NA,NA,172550
NA,NA,"Missouri","Dent",NA,NA,174330
NA,NA,"Missouri","Douglas",NA,NA,175060
NA,NA,"Missouri","Dunklin",NA,NA,101580
NA,NA,"Missouri","Franklin",NA,NA,253990
NA,NA,"Missouri","Gasconade",NA,NA,187240
NA,NA,"Missouri","Gentry",NA,NA,139470
NA,NA,"Missouri","Greene",NA,NA,264530
NA,NA,"Missouri","Grundy",NA,NA,117090
NA,NA,"Missouri","Harrison",NA,NA,113970
NA,NA,"Missouri","Henry",NA,NA,167150
NA,NA,"Missouri","Hickory",NA,NA,183290
NA,NA,"Missouri","Holt",NA,NA,143840
NA,NA,"Missouri","Howard",NA,NA,165070
NA,NA,"Missouri","Howell",NA,NA,180060
NA,NA,"Missouri","Iron",NA,NA,124170
NA,NA,"Missouri","Jackson",NA,NA,263860
NA,NA,"Missouri","Jasper",NA,NA,195180
NA,NA,"Missouri","Jefferson",NA,NA,273760
NA,NA,"Missouri","Johnson",NA,NA,245320
NA,NA,"Missouri","Knox",NA,NA,105540
NA,NA,"Missouri","Laclede",NA,NA,175270
NA,NA,"Missouri","Lafayette",NA,NA,226330
NA,NA,"Missouri","Lawrence",NA,NA,182240
NA,NA,"Missouri","Lewis",NA,NA,135510
NA,NA,"Missouri","Lincoln",NA,NA,288730
NA,NA,"Missouri","Linn",NA,NA,128330
NA,NA,"Missouri","Livingston",NA,NA,153730
NA,NA,"Missouri","McDonald",NA,NA,161460
NA,NA,"Missouri","Macon",NA,NA,155180
NA,NA,"Missouri","Madison",NA,NA,165490
NA,NA,"Missouri","Maries",NA,NA,228040
NA,NA,"Missouri","Marion",NA,NA,168610
NA,NA,"Missouri","Mercer",NA,NA,109180
NA,NA,"Missouri","Miller",NA,NA,200460
NA,NA,"Missouri","Mississippi",NA,NA,113450
NA,NA,"Missouri","Moniteau",NA,NA,190990
NA,NA,"Missouri","Monroe",NA,NA,155390
NA,NA,"Missouri","Montgomery",NA,NA,185990
NA,NA,"Missouri","Morgan",NA,NA,202330
NA,NA,"Missouri","New Madrid",NA,NA,116360
NA,NA,"Missouri","Newton",NA,NA,202180
NA,NA,"Missouri","Nodaway",NA,NA,184740
NA,NA,"Missouri","Oregon",NA,NA,117920
NA,NA,"Missouri","Osage",NA,NA,234460
NA,NA,"Missouri","Ozark",NA,NA,175480
NA,NA,"Missouri","Pemiscot",NA,NA,100960
NA,NA,"Missouri","Perry",NA,NA,195880
NA,NA,"Missouri","Pettis",NA,NA,173090
NA,NA,"Missouri","Phelps",NA,NA,214930
NA,NA,"Missouri","Pike",NA,NA,151960
NA,NA,"Missouri","Platte",NA,NA,396940
NA,NA,"Missouri","Polk",NA,NA,214920
NA,NA,"Missouri","Pulaski",NA,NA,197540
NA,NA,"Missouri","Putnam",NA,NA,124380
NA,NA,"Missouri","Ralls",NA,NA,175060
NA,NA,"Missouri","Randolph",NA,NA,165800
NA,NA,"Missouri","Ray",NA,NA,207830
NA,NA,"Missouri","Reynolds",NA,NA,157890
NA,NA,"Missouri","Ripley",NA,NA,124480
NA,NA,"Missouri","St. Charles",NA,NA,358110
NA,NA,"Missouri","St. Clair",NA,NA,163510
NA,NA,"Missouri","Ste. Genevieve",NA,NA,231270
NA,NA,"Missouri","St. Francois",NA,NA,192860
NA,NA,"Missouri","Saline",NA,NA,156640
NA,NA,"Missouri","Schuyler",NA,NA,143110
NA,NA,"Missouri","Scotland",NA,NA,165280
NA,NA,"Missouri","Scott",NA,NA,160700
NA,NA,"Missouri","Shannon",NA,NA,163930
NA,NA,"Missouri","Shelby",NA,NA,103980
NA,NA,"Missouri","Stoddard",NA,NA,149150
NA,NA,"Missouri","Stone",NA,NA,259160
NA,NA,"Missouri","Sullivan",NA,NA,120320
NA,NA,"Missouri","Taney",NA,NA,227730
NA,NA,"Missouri","Texas",NA,NA,152690
NA,NA,"Missouri","Vernon",NA,NA,165280
NA,NA,"Missouri","Warren",NA,NA,270840
NA,NA,"Missouri","Washington",NA,NA,134590
NA,NA,"Missouri","Wayne",NA,NA,111780
NA,NA,"Missouri","Webster",NA,NA,238940
NA,NA,"Missouri","Worth",NA,NA,100540
NA,NA,"Missouri","Wright",NA,NA,166630
NA,NA,"Montana","Beaverhead",NA,NA,318640
NA,NA,"Montana","Big Horn",NA,NA,148210
NA,NA,"Montana","Blaine",NA,NA,160710
NA,NA,"Montana","Broadwater",NA,NA,440910
NA,NA,"Montana","Carbon",NA,NA,433900
NA,NA,"Montana","Carter",NA,NA,205880
NA,NA,"Montana","Cascade",NA,NA,306390
NA,NA,"Montana","Chouteau",NA,NA,214770
NA,NA,"Montana","Custer",NA,NA,226450
NA,NA,"Montana","Daniels",NA,NA,191000
NA,NA,"Montana","Dawson",NA,NA,191510
NA,NA,"Montana","Deer Lodge",NA,NA,239470
NA,NA,"Montana","Fallon",NA,NA,253010
NA,NA,"Montana","Fergus",NA,NA,244020
NA,NA,"Montana","Flathead",NA,NA,612270
NA,NA,"Montana","Gallatin",NA,NA,758720
NA,NA,"Montana","Garfield",NA,NA,175600
NA,NA,"Montana","Glacier",NA,NA,170640
NA,NA,"Montana","Golden Valley",NA,NA,219320
NA,NA,"Montana","Granite",NA,NA,364530
NA,NA,"Montana","Hill",NA,NA,209390
NA,NA,"Montana","Jefferson",NA,NA,461890
NA,NA,"Montana","Judith Basin",NA,NA,246290
NA,NA,"Montana","Lake",NA,NA,435950
NA,NA,"Montana","Lewis and Clark",NA,NA,478320
NA,NA,"Montana","Liberty",NA,NA,174770
NA,NA,"Montana","Lincoln",NA,NA,306440
NA,NA,"Montana","McCone",NA,NA,218700
NA,NA,"Montana","Madison",NA,NA,485860
NA,NA,"Montana","Meagher",NA,NA,268510
NA,NA,"Montana","Mineral",NA,NA,376520
NA,NA,"Montana","Missoula",NA,NA,545710
NA,NA,"Montana","Musselshell",NA,NA,242880
NA,NA,"Montana","Park",NA,NA,483180
NA,NA,"Montana","Petroleum",NA,NA,208150
NA,NA,"Montana","Phillips",NA,NA,204230
NA,NA,"Montana","Pondera",NA,NA,213010
NA,NA,"Montana","Powder River",NA,NA,198540
NA,NA,"Montana","Powell",NA,NA,316780
NA,NA,"Montana","Prairie",NA,NA,171260
NA,NA,"Montana","Ravalli",NA,NA,492580
NA,NA,"Montana","Richland",NA,NA,271820
NA,NA,"Montana","Roosevelt",NA,NA,122780
NA,NA,"Montana","Rosebud",NA,NA,188520
NA,NA,"Montana","Sanders",NA,NA,371040
NA,NA,"Montana","Sheridan",NA,NA,128160
NA,NA,"Montana","Silver Bow",NA,NA,263760
NA,NA,"Montana","Stillwater",NA,NA,419410
NA,NA,"Montana","Sweet Grass",NA,NA,341170
NA,NA,"Montana","Teton",NA,NA,272850
NA,NA,"Montana","Toole",NA,NA,225720
NA,NA,"Montana","Treasure",NA,NA,238020
NA,NA,"Montana","Valley",NA,NA,205050
NA,NA,"Montana","Wheatland",NA,NA,186860
NA,NA,"Montana","Wibaux",NA,NA,101910
NA,NA,"Montana","Yellowstone",NA,NA,386160
NA,NA,"Nebraska","Adams",NA,NA,201070
NA,NA,"Nebraska","Antelope",NA,NA,135680
NA,NA,"Nebraska","Arthur",NA,NA,193570
NA,NA,"Nebraska","Banner",NA,NA,214190
NA,NA,"Nebraska","Blaine",NA,NA,121720
NA,NA,"Nebraska","Boone",NA,NA,180870
NA,NA,"Nebraska","Box Butte",NA,NA,173470
NA,NA,"Nebraska","Boyd",NA,NA,108290
NA,NA,"Nebraska","Brown",NA,NA,118600
NA,NA,"Nebraska","Buffalo",NA,NA,256560
NA,NA,"Nebraska","Burt",NA,NA,153060
NA,NA,"Nebraska","Butler",NA,NA,191800
NA,NA,"Nebraska","Cass",NA,NA,263960
NA,NA,"Nebraska","Cedar",NA,NA,192630
NA,NA,"Nebraska","Chase",NA,NA,172740
NA,NA,"Nebraska","Cherry",NA,NA,158480
NA,NA,"Nebraska","Cheyenne",NA,NA,145460
NA,NA,"Nebraska","Clay",NA,NA,162020
NA,NA,"Nebraska","Colfax",NA,NA,150670
NA,NA,"Nebraska","Cuming",NA,NA,186180
NA,NA,"Nebraska","Custer",NA,NA,164310
NA,NA,"Nebraska","Dakota",NA,NA,199010
NA,NA,"Nebraska","Dawes",NA,NA,157120
NA,NA,"Nebraska","Dawson",NA,NA,173060
NA,NA,"Nebraska","Deuel",NA,NA,104330
NA,NA,"Nebraska","Dixon",NA,NA,167080
NA,NA,"Nebraska","Dodge",NA,NA,217210
NA,NA,"Nebraska","Dundy",NA,NA,149320
NA,NA,"Nebraska","Fillmore",NA,NA,157230
NA,NA,"Nebraska","Franklin",NA,NA,99540
NA,NA,"Nebraska","Frontier",NA,NA,155980
NA,NA,"Nebraska","Furnas",NA,NA,102460
NA,NA,"Nebraska","Gage",NA,NA,181180
NA,NA,"Nebraska","Garden",NA,NA,114950
NA,NA,"Nebraska","Garfield",NA,NA,183880
NA,NA,"Nebraska","Gosper",NA,NA,237930
NA,NA,"Nebraska","Grant",NA,NA,142340
NA,NA,"Nebraska","Greeley",NA,NA,124950
NA,NA,"Nebraska","Hall",NA,NA,233870
NA,NA,"Nebraska","Hamilton",NA,NA,264170
NA,NA,"Nebraska","Harlan",NA,NA,151810
NA,NA,"Nebraska","Hayes",NA,NA,133380
NA,NA,"Nebraska","Hitchcock",NA,NA,100690
NA,NA,"Nebraska","Holt",NA,NA,171910
NA,NA,"Nebraska","Hooker",NA,NA,97670
NA,NA,"Nebraska","Howard",NA,NA,217730
NA,NA,"Nebraska","Jefferson",NA,NA,134840
NA,NA,"Nebraska","Johnson",NA,NA,161910
NA,NA,"Nebraska","Kearney",NA,NA,232620
NA,NA,"Nebraska","Keith",NA,NA,174930
NA,NA,"Nebraska","Keya Paha",NA,NA,113290
NA,NA,"Nebraska","Kimball",NA,NA,113910
NA,NA,"Nebraska","Knox",NA,NA,132970
NA,NA,"Nebraska","Lancaster",NA,NA,297580
NA,NA,"Nebraska","Lincoln",NA,NA,197320
NA,NA,"Nebraska","Logan",NA,NA,182220
NA,NA,"Nebraska","Loup",NA,NA,189820
NA,NA,"Nebraska","McPherson",NA,NA,126620
NA,NA,"Nebraska","Madison",NA,NA,217100
NA,NA,"Nebraska","Merrick",NA,NA,183160
NA,NA,"Nebraska","Morrill",NA,NA,120890
NA,NA,"Nebraska","Nance",NA,NA,137450
NA,NA,"Nebraska","Nemaha",NA,NA,137130
NA,NA,"Nebraska","Nuckolls",NA,NA,100480
NA,NA,"Nebraska","Otoe",NA,NA,209920
NA,NA,"Nebraska","Pawnee",NA,NA,82680
NA,NA,"Nebraska","Perkins",NA,NA,163680
NA,NA,"Nebraska","Phelps",NA,NA,202940
NA,NA,"Nebraska","Pierce",NA,NA,204090
NA,NA,"Nebraska","Platte",NA,NA,233140
NA,NA,"Nebraska","Polk",NA,NA,197730
NA,NA,"Nebraska","Red Willow",NA,NA,166180
NA,NA,"Nebraska","Richardson",NA,NA,104440
NA,NA,"Nebraska","Rock",NA,NA,122350
NA,NA,"Nebraska","Saline",NA,NA,205540
NA,NA,"Nebraska","Sarpy",NA,NA,352190
NA,NA,"Nebraska","Saunders",NA,NA,281360
NA,NA,"Nebraska","Scotts Bluff",NA,NA,175450
NA,NA,"Nebraska","Seward",NA,NA,249670
NA,NA,"Nebraska","Sheridan",NA,NA,118080
NA,NA,"Nebraska","Sherman",NA,NA,158270
NA,NA,"Nebraska","Sioux",NA,NA,103400
NA,NA,"Nebraska","Stanton",NA,NA,203460
NA,NA,"Nebraska","Thayer",NA,NA,127870
NA,NA,"Nebraska","Thomas",NA,NA,113700
NA,NA,"Nebraska","Thurston",NA,NA,119330
NA,NA,"Nebraska","Valley",NA,NA,160980
NA,NA,"Nebraska","Washington",NA,NA,308180
NA,NA,"Nebraska","Wayne",NA,NA,230740
NA,NA,"Nebraska","Webster",NA,NA,122450
NA,NA,"Nebraska","Wheeler",NA,NA,152540
NA,NA,"Nebraska","York",NA,NA,197210
NA,NA,"Nevada","Churchill",NA,NA,339310
NA,NA,"Nevada","Douglas",NA,NA,632950
NA,NA,"Nevada","Elko",NA,NA,309990
NA,NA,"Nevada","Esmeralda",NA,NA,112010
NA,NA,"Nevada","Eureka",NA,NA,84960
NA,NA,"Nevada","Humboldt",NA,NA,286240
NA,NA,"Nevada","Lander",NA,NA,219900
NA,NA,"Nevada","Lincoln",NA,NA,225760
NA,NA,"Nevada","Lyon",NA,NA,376540
NA,NA,"Nevada","Mineral",NA,NA,160650
NA,NA,"Nevada","Nye",NA,NA,299200
NA,NA,"Nevada","Pershing",NA,NA,184620
NA,NA,"Nevada","Storey",NA,NA,436470
NA,NA,"Nevada","Washoe",NA,NA,585300
NA,NA,"Nevada","White Pine",NA,NA,226270
NA,NA,"New Hampshire","Belknap",NA,NA,452800
NA,NA,"New Hampshire","Carroll",NA,NA,407060
NA,NA,"New Hampshire","Cheshire",NA,NA,339750
NA,NA,"New Hampshire","Coos",NA,NA,197720
NA,NA,"New Hampshire","Grafton",NA,NA,420040
NA,NA,"New Hampshire","Hillsborough",NA,NA,501480
NA,NA,"New Hampshire","Merrimack",NA,NA,457510
NA,NA,"New Hampshire","Rockingham",NA,NA,614940
NA,NA,"New Hampshire","Strafford",NA,NA,420570
NA,NA,"New Hampshire","Sullivan",NA,NA,281240
NA,NA,"New Jersey","Atlantic",NA,NA,346470
NA,NA,"New Jersey","Cumberland",NA,NA,263810
NA,NA,"New Jersey","Gloucester",NA,NA,365530
NA,NA,"New Jersey","Hunterdon",NA,NA,580220
NA,NA,"New Jersey","Monmouth",NA,NA,714650
NA,NA,"New Jersey","Ocean",NA,NA,480140
NA,NA,"New Jersey","Passaic",NA,NA,513010
NA,NA,"New Jersey","Salem",NA,NA,290050
NA,NA,"New Jersey","Somerset",NA,NA,636840
NA,NA,"New Jersey","Sussex",NA,NA,440810
NA,NA,"New Jersey","Warren",NA,NA,400600
NA,NA,"New Mexico","Bernalillo",NA,NA,334250
NA,NA,"New Mexico","Catron",NA,NA,170420
NA,NA,"New Mexico","Chaves",NA,NA,159600
NA,NA,"New Mexico","Cibola",NA,NA,127970
NA,NA,"New Mexico","Colfax",NA,NA,170620
NA,NA,"New Mexico","Curry",NA,NA,174710
NA,NA,"New Mexico","De Baca",NA,NA,191340
NA,NA,"New Mexico","Doña Ana",NA,NA,258190
NA,NA,"New Mexico","Eddy",NA,NA,216950
NA,NA,"New Mexico","Grant",NA,NA,179200
NA,NA,"New Mexico","Guadalupe",NA,NA,112250
NA,NA,"New Mexico","Harding",NA,NA,71430
NA,NA,"New Mexico","Hidalgo",NA,NA,113270
NA,NA,"New Mexico","Lea",NA,NA,195320
NA,NA,"New Mexico","Lincoln",NA,NA,237970
NA,NA,"New Mexico","Los Alamos",NA,NA,505950
NA,NA,"New Mexico","Luna",NA,NA,130620
NA,NA,"New Mexico","McKinley",NA,NA,106740
NA,NA,"New Mexico","Mora",NA,NA,125110
NA,NA,"New Mexico","Otero",NA,NA,210630
NA,NA,"New Mexico","Quay",NA,NA,88990
NA,NA,"New Mexico","Rio Arriba",NA,NA,248690
NA,NA,"New Mexico","Roosevelt",NA,NA,138580
NA,NA,"New Mexico","Sandoval",NA,NA,365160
NA,NA,"New Mexico","San Juan",NA,NA,219610
NA,NA,"New Mexico","San Miguel",NA,NA,192360
NA,NA,"New Mexico","Santa Fe",NA,NA,498030
NA,NA,"New Mexico","Sierra",NA,NA,155720
NA,NA,"New Mexico","Socorro",NA,NA,140320
NA,NA,"New Mexico","Taos",NA,NA,390640
NA,NA,"New Mexico","Torrance",NA,NA,164500
NA,NA,"New Mexico","Union",NA,NA,125210
NA,NA,"New Mexico","Valencia",NA,NA,253600
NA,NA,"New York","Albany",NA,NA,341590
NA,NA,"New York","Allegany",NA,NA,108340
NA,NA,"New York","Bronx",NA,NA,601850
NA,NA,"New York","Broome",NA,NA,178580
NA,NA,"New York","Cattaraugus",NA,NA,141680
NA,NA,"New York","Cayuga",NA,NA,198030
NA,NA,"New York","Chautauqua",NA,NA,147330
NA,NA,"New York","Chemung",NA,NA,149370
NA,NA,"New York","Chenango",NA,NA,146900
NA,NA,"New York","Clinton",NA,NA,203890
NA,NA,"New York","Columbia",NA,NA,369750
NA,NA,"New York","Cortland",NA,NA,172680
NA,NA,"New York","Delaware",NA,NA,195050
NA,NA,"New York","Dutchess",NA,NA,471510
NA,NA,"New York","Essex",NA,NA,225730
NA,NA,"New York","Franklin",NA,NA,154890
NA,NA,"New York","Fulton",NA,NA,173740
NA,NA,"New York","Genesee",NA,NA,181630
NA,NA,"New York","Greene",NA,NA,289330
NA,NA,"New York","Hamilton",NA,NA,277180
NA,NA,"New York","Herkimer",NA,NA,158130
NA,NA,"New York","Jefferson",NA,NA,218170
NA,NA,"New York","Kings",NA,NA,967390
NA,NA,"New York","Lewis",NA,NA,176940
NA,NA,"New York","Livingston",NA,NA,184620
NA,NA,"New York","Madison",NA,NA,203170
NA,NA,"New York","Monroe",NA,NA,258750
NA,NA,"New York","Montgomery",NA,NA,167780
NA,NA,"New York","Nassau",NA,NA,746770
NA,NA,"New York","Niagara",NA,NA,221450
NA,NA,"New York","Oneida",NA,NA,218190
NA,NA,"New York","Onondaga",NA,NA,255230
NA,NA,"New York","Orange",NA,NA,453350
NA,NA,"New York","Orleans",NA,NA,148880
NA,NA,"New York","Oswego",NA,NA,169150
NA,NA,"New York","Otsego",NA,NA,190790
NA,NA,"New York","Putnam",NA,NA,563580
NA,NA,"New York","Rensselaer",NA,NA,288070
NA,NA,"New York","Richmond",NA,NA,723340
NA,NA,"New York","Rockland",NA,NA,707650
NA,NA,"New York","St. Lawrence",NA,NA,119950
NA,NA,"New York","Saratoga",NA,NA,407560
NA,NA,"New York","Schenectady",NA,NA,281630
NA,NA,"New York","Schoharie",NA,NA,203200
NA,NA,"New York","Schuyler",NA,NA,183010
NA,NA,"New York","Seneca",NA,NA,165540
NA,NA,"New York","Sullivan",NA,NA,299760
NA,NA,"New York","Tioga",NA,NA,176600
NA,NA,"New York","Tompkins",NA,NA,334420
NA,NA,"New York","Ulster",NA,NA,419670
NA,NA,"New York","Warren",NA,NA,346220
NA,NA,"New York","Washington",NA,NA,218140
NA,NA,"New York","Wayne",NA,NA,189490
NA,NA,"New York","Wyoming",NA,NA,172890
NA,NA,"New York","Yates",NA,NA,196750
NA,NA,"North Carolina","Alexander",NA,NA,214410
NA,NA,"North Carolina","Alleghany",NA,NA,226560
NA,NA,"North Carolina","Anson",NA,NA,153380
NA,NA,"North Carolina","Ashe",NA,NA,256410
NA,NA,"North Carolina","Avery",NA,NA,280350
NA,NA,"North Carolina","Beaufort",NA,NA,203250
NA,NA,"North Carolina","Bertie",NA,NA,103890
NA,NA,"North Carolina","Bladen",NA,NA,142500
NA,NA,"North Carolina","Brunswick",NA,NA,401560
NA,NA,"North Carolina","Buncombe",NA,NA,433580
NA,NA,"North Carolina","Burke",NA,NA,229690
NA,NA,"North Carolina","Cabarrus",NA,NA,399860
NA,NA,"North Carolina","Caldwell",NA,NA,232630
NA,NA,"North Carolina","Camden",NA,NA,355560
NA,NA,"North Carolina","Carteret",NA,NA,399120
NA,NA,"North Carolina","Caswell",NA,NA,173510
NA,NA,"North Carolina","Catawba",NA,NA,302980
NA,NA,"North Carolina","Chatham",NA,NA,545880
NA,NA,"North Carolina","Cherokee",NA,NA,245020
NA,NA,"North Carolina","Chowan",NA,NA,248710
NA,NA,"North Carolina","Clay",NA,NA,293640
NA,NA,"North Carolina","Cleveland",NA,NA,245130
NA,NA,"North Carolina","Columbus",NA,NA,153990
NA,NA,"North Carolina","Craven",NA,NA,304610
NA,NA,"North Carolina","Cumberland",NA,NA,229340
NA,NA,"North Carolina","Currituck",NA,NA,394710
NA,NA,"North Carolina","Dare",NA,NA,485610
NA,NA,"North Carolina","Davidson",NA,NA,266220
NA,NA,"North Carolina","Davie",NA,NA,264150
NA,NA,"North Carolina","Duplin",NA,NA,144920
NA,NA,"North Carolina","Edgecombe",NA,NA,126090
NA,NA,"North Carolina","Franklin",NA,NA,340120
NA,NA,"North Carolina","Gaston",NA,NA,318740
NA,NA,"North Carolina","Gates",NA,NA,180150
NA,NA,"North Carolina","Graham",NA,NA,179940
NA,NA,"North Carolina","Granville",NA,NA,261260
NA,NA,"North Carolina","Greene",NA,NA,120990
NA,NA,"North Carolina","Halifax",NA,NA,112020
NA,NA,"North Carolina","Harnett",NA,NA,296600
NA,NA,"North Carolina","Haywood",NA,NA,276700
NA,NA,"North Carolina","Henderson",NA,NA,409800
NA,NA,"North Carolina","Hertford",NA,NA,125730
NA,NA,"North Carolina","Hoke",NA,NA,225240
NA,NA,"North Carolina","Hyde",NA,NA,130790
NA,NA,"North Carolina","Jackson",NA,NA,300290
NA,NA,"North Carolina","Johnston",NA,NA,344780
NA,NA,"North Carolina","Jones",NA,NA,137440
NA,NA,"North Carolina","Lee",NA,NA,294170
NA,NA,"North Carolina","Lenoir",NA,NA,127100
NA,NA,"North Carolina","Lincoln",NA,NA,399760
NA,NA,"North Carolina","McDowell",NA,NA,180470
NA,NA,"North Carolina","Macon",NA,NA,265690
NA,NA,"North Carolina","Madison",NA,NA,282050
NA,NA,"North Carolina","Martin",NA,NA,115710
NA,NA,"North Carolina","Mitchell",NA,NA,232150
NA,NA,"North Carolina","Montgomery",NA,NA,170550
NA,NA,"North Carolina","Moore",NA,NA,380770
NA,NA,"North Carolina","Nash",NA,NA,221640
NA,NA,"North Carolina","New Hanover",NA,NA,447650
NA,NA,"North Carolina","Northampton",NA,NA,120770
NA,NA,"North Carolina","Onslow",NA,NA,272370
NA,NA,"North Carolina","Orange",NA,NA,535790
NA,NA,"North Carolina","Pamlico",NA,NA,228670
NA,NA,"North Carolina","Pasquotank",NA,NA,247450
NA,NA,"North Carolina","Pender",NA,NA,355380
NA,NA,"North Carolina","Perquimans",NA,NA,244390
NA,NA,"North Carolina","Person",NA,NA,220220
NA,NA,"North Carolina","Pitt",NA,NA,253310
NA,NA,"North Carolina","Polk",NA,NA,332250
NA,NA,"North Carolina","Randolph",NA,NA,249210
NA,NA,"North Carolina","Richmond",NA,NA,134800
NA,NA,"North Carolina","Robeson",NA,NA,109690
NA,NA,"North Carolina","Rockingham",NA,NA,200800
NA,NA,"North Carolina","Rowan",NA,NA,304280
NA,NA,"North Carolina","Rutherford",NA,NA,289640
NA,NA,"North Carolina","Sampson",NA,NA,158950
NA,NA,"North Carolina","Scotland",NA,NA,121190
NA,NA,"North Carolina","Stanly",NA,NA,302930
NA,NA,"North Carolina","Stokes",NA,NA,204640
NA,NA,"North Carolina","Surry",NA,NA,207470
NA,NA,"North Carolina","Swain",NA,NA,218340
NA,NA,"North Carolina","Transylvania",NA,NA,394060
NA,NA,"North Carolina","Tyrrell",NA,NA,173510
NA,NA,"North Carolina","Union",NA,NA,477280
NA,NA,"North Carolina","Vance",NA,NA,170340
NA,NA,"North Carolina","Warren",NA,NA,162640
NA,NA,"North Carolina","Washington",NA,NA,132790
NA,NA,"North Carolina","Watauga",NA,NA,378550
NA,NA,"North Carolina","Wayne",NA,NA,229200
NA,NA,"North Carolina","Wilkes",NA,NA,190700
NA,NA,"North Carolina","Wilson",NA,NA,232790
NA,NA,"North Carolina","Yadkin",NA,NA,188520
NA,NA,"North Carolina","Yancey",NA,NA,256410
NA,NA,"North Dakota","Adams",NA,NA,122510
NA,NA,"North Dakota","Barnes",NA,NA,187990
NA,NA,"North Dakota","Benson",NA,NA,97400
NA,NA,"North Dakota","Billings",NA,NA,358220
NA,NA,"North Dakota","Bottineau",NA,NA,209090
NA,NA,"North Dakota","Bowman",NA,NA,178460
NA,NA,"North Dakota","Burke",NA,NA,171100
NA,NA,"North Dakota","Burleigh",NA,NA,345910
NA,NA,"North Dakota","Cass",NA,NA,322190
NA,NA,"North Dakota","Cavalier",NA,NA,136150
NA,NA,"North Dakota","Dickey",NA,NA,175760
NA,NA,"North Dakota","Divide",NA,NA,181380
NA,NA,"North Dakota","Dunn",NA,NA,297620
NA,NA,"North Dakota","Eddy",NA,NA,134200
NA,NA,"North Dakota","Emmons",NA,NA,126840
NA,NA,"North Dakota","Foster",NA,NA,181280
NA,NA,"North Dakota","Golden Valley",NA,NA,134090
NA,NA,"North Dakota","Grand Forks",NA,NA,295970
NA,NA,"North Dakota","Grant",NA,NA,100860
NA,NA,"North Dakota","Griggs",NA,NA,129110
NA,NA,"North Dakota","Hettinger",NA,NA,126950
NA,NA,"North Dakota","Kidder",NA,NA,169480
NA,NA,"North Dakota","LaMoure",NA,NA,126840
NA,NA,"North Dakota","Logan",NA,NA,110390
NA,NA,"North Dakota","McHenry",NA,NA,163420
NA,NA,"North Dakota","McIntosh",NA,NA,91120
NA,NA,"North Dakota","McKenzie",NA,NA,378350
NA,NA,"North Dakota","McLean",NA,NA,245780
NA,NA,"North Dakota","Mercer",NA,NA,214830
NA,NA,"North Dakota","Morton",NA,NA,271850
NA,NA,"North Dakota","Mountrail",NA,NA,251840
NA,NA,"North Dakota","Nelson",NA,NA,151190
NA,NA,"North Dakota","Oliver",NA,NA,233440
NA,NA,"North Dakota","Pembina",NA,NA,129000
NA,NA,"North Dakota","Pierce",NA,NA,159410
NA,NA,"North Dakota","Ramsey",NA,NA,215690
NA,NA,"North Dakota","Ransom",NA,NA,208870
NA,NA,"North Dakota","Renville",NA,NA,179650
NA,NA,"North Dakota","Richland",NA,NA,198700
NA,NA,"North Dakota","Rolette",NA,NA,112340
NA,NA,"North Dakota","Sargent",NA,NA,176620
NA,NA,"North Dakota","Sheridan",NA,NA,119370
NA,NA,"North Dakota","Sioux",NA,NA,92420
NA,NA,"North Dakota","Slope",NA,NA,183980
NA,NA,"North Dakota","Stark",NA,NA,294050
NA,NA,"North Dakota","Steele",NA,NA,141450
NA,NA,"North Dakota","Stutsman",NA,NA,225540
NA,NA,"North Dakota","Towner",NA,NA,145890
NA,NA,"North Dakota","Traill",NA,NA,217210
NA,NA,"North Dakota","Walsh",NA,NA,143610
NA,NA,"North Dakota","Ward",NA,NA,304330
NA,NA,"North Dakota","Wells",NA,NA,123920
NA,NA,"North Dakota","Williams",NA,NA,308220
NA,NA,"Ohio","Adams",NA,NA,172160
NA,NA,"Ohio","Allen",NA,NA,195090
NA,NA,"Ohio","Ashland",NA,NA,195860
NA,NA,"Ohio","Ashtabula",NA,NA,179920
NA,NA,"Ohio","Athens",NA,NA,193970
NA,NA,"Ohio","Auglaize",NA,NA,199010
NA,NA,"Ohio","Belmont",NA,NA,170140
NA,NA,"Ohio","Brown",NA,NA,205090
NA,NA,"Ohio","Butler",NA,NA,299800
NA,NA,"Ohio","Carroll",NA,NA,195270
NA,NA,"Ohio","Champaign",NA,NA,213890
NA,NA,"Ohio","Clark",NA,NA,211470
NA,NA,"Ohio","Clermont",NA,NA,308680
NA,NA,"Ohio","Clinton",NA,NA,222180
NA,NA,"Ohio","Columbiana",NA,NA,178660
NA,NA,"Ohio","Coshocton",NA,NA,163040
NA,NA,"Ohio","Crawford",NA,NA,143330
NA,NA,"Ohio","Darke",NA,NA,181600
NA,NA,"Ohio","Defiance",NA,NA,171120
NA,NA,"Ohio","Delaware",NA,NA,492930
NA,NA,"Ohio","Erie",NA,NA,248310
NA,NA,"Ohio","Fairfield",NA,NA,332250
NA,NA,"Ohio","Fayette",NA,NA,178980
