GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUO6E001,AUO7E001,AUO7E002,AUO7E003,AUO7E004,AUO7E005,AUO7E006,AUO7E007,AUO7E008,AUO7E009,AUO7E010,AUQ8E001,AUQ8E002,AUQ8E003,AUQ8E004,AUQ8E005,AUQ8E006,AUQ8E007,AUQ8E008,AUQ8E009,AUQ8E010,AUQ8E011,AUQ8E012,AUQ8E013,AUQ8E014,AUQ8E015,AUQ8E016,AUQ8E017,AUQ8E018,AUQ8E019,AUQ8E020,AUQ8E021,AUQ8E022,AUQ8E023,AUQ8E024,AUQ8E025,AURUE001,NAME_M,AUO6M001,AUO7M001,AUO7M002,AUO7M003,AUO7M004,AUO7M005,AUO7M006,AUO7M007,AUO7M008,AUO7M009,AUO7M010,AUQ8M001,AUQ8M002,AUQ8M003,AUQ8M004,AUQ8M005,AUQ8M006,AUQ8M007,AUQ8M008,AUQ8M009,AUQ8M010,AUQ8M011,AUQ8M012,AUQ8M013,AUQ8M014,AUQ8M015,AUQ8M016,AUQ8M017,AUQ8M018,AUQ8M019,AUQ8M020,AUQ8M021,AUQ8M022,AUQ8M023,AUQ8M024,AUQ8M025,AURUM001
"G0100210","2020-2024","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01021",,,"01021","Chilton County, Alabama",45992,45992,37129,4354,135,200,176,1471,2527,1668,859,31095,464,0,5,0,0,64,0,14,336,177,362,691,732,999,685,11137,1733,2391,3467,2717,3276,1554,212,79,65603,"Chilton County, Alabama",-555555555,-555555555,553,258,177,86,240,484,472,437,246,155,164,28,7,28,28,80,28,17,176,119,133,272,186,291,157,623,320,432,453,426,445,299,125,54,4047
"G0100230","2020-2024","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01023",,,"01023","Choctaw County, Alabama",12380,12380,7025,4649,22,3,0,71,610,23,587,9003,245,0,19,0,15,0,0,0,12,13,177,161,163,258,181,3352,427,802,1034,725,938,417,59,5,47813,"Choctaw County, Alabama",-555555555,-555555555,23,235,34,10,21,61,254,35,250,109,94,21,26,21,25,21,21,21,12,16,103,80,77,103,70,350,131,170,217,168,174,137,52,8,8438
"G0100250","2020-2024","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01025",,,"01025","Clarke County, Alabama",22543,22543,11586,10069,35,119,0,227,507,67,440,15834,359,0,0,0,0,0,27,8,38,45,111,263,415,525,414,6106,919,848,2225,1160,1582,611,164,14,49249,"Clarke County, Alabama",-555555555,-555555555,103,204,39,117,25,112,157,47,159,141,182,25,25,25,25,25,36,16,49,42,57,126,147,248,152,611,224,217,361,249,274,181,78,17,3377
"G0100270","2020-2024","AL",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01027",,,"01027","Clay County, Alabama",14192,14192,11357,1818,24,54,0,142,797,463,334,10235,170,0,4,0,0,0,0,28,144,67,119,161,339,460,228,3160,553,710,1438,1148,1073,339,94,0,55250,"Clay County, Alabama",-555555555,-555555555,180,150,41,29,21,101,284,254,110,111,85,21,8,21,21,21,21,44,95,56,89,80,132,157,94,340,184,214,308,216,271,117,63,21,6691
"G0100290","2020-2024","AL",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01029",,,"01029","Cleburne County, Alabama",15426,15426,14309,562,48,18,0,139,350,168,182,11005,145,0,0,0,25,6,0,6,11,59,161,242,269,333,296,3788,875,752,1335,832,1058,709,101,2,55345,"Cleburne County, Alabama",-555555555,-555555555,129,115,38,27,21,89,156,113,107,82,81,21,21,21,32,10,21,10,14,57,76,95,102,134,158,478,204,232,316,196,231,177,62,3,6656
"G0100310","2020-2024","AL",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01031",,,"01031","Coffee County, Alabama",54920,54920,39036,8909,343,631,25,1170,4806,1787,3019,37306,644,0,0,30,6,49,14,57,219,216,326,463,979,971,834,9216,2030,2406,5519,4939,4609,2855,579,345,68353,"Coffee County, Alabama",-555555555,-555555555,419,429,101,131,25,356,613,377,463,106,189,31,31,35,5,46,21,40,124,129,108,125,185,224,203,653,251,310,467,493,435,288,200,144,3218
"G0100330","2020-2024","AL",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01033",,,"01033","Colbert County, Alabama",58022,58022,44866,8991,120,280,0,974,2791,956,1835,41177,638,0,0,12,0,22,0,27,103,357,459,901,733,1109,847,10575,2401,3174,6781,4121,5591,2227,630,469,60628,"Colbert County, Alabama",-555555555,-555555555,158,321,69,127,31,396,523,411,408,294,237,31,31,19,31,37,31,38,66,217,152,250,252,331,282,874,398,431,715,754,615,447,231,190,3733
"G0100350","2020-2024","AL",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01035",,,"01035","Conecuh County, Alabama",11275,11275,5660,5101,22,9,0,35,448,194,254,8071,57,20,0,0,0,0,12,0,36,54,27,42,225,201,187,3287,458,819,916,647,607,310,46,120,41327,"Conecuh County, Alabama",-555555555,-555555555,56,216,23,13,21,36,206,183,125,140,41,41,21,21,21,21,13,21,36,42,28,33,104,94,100,451,151,234,217,166,152,98,43,74,3467
"G0100370","2020-2024","AL",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01037",,,"01037","Coosa County, Alabama",10300,10300,6806,3007,7,29,0,12,439,272,167,7807,136,0,9,0,0,0,8,3,3,6,142,197,281,276,202,2564,582,540,1109,667,697,243,62,80,57355,"Coosa County, Alabama",-555555555,-555555555,91,69,16,46,21,26,95,96,56,201,106,21,13,21,21,21,12,5,4,7,100,97,136,131,100,300,166,163,230,279,215,126,54,79,5303
"G0100390","2020-2024","AL",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01039",,,"01039","Covington County, Alabama",37628,37628,31206,4497,117,173,0,264,1371,356,1015,26425,440,0,1,0,5,28,36,76,125,115,353,662,753,801,506,7716,1570,1760,3505,3436,2600,1516,309,112,52456,"Covington County, Alabama",-555555555,-555555555,155,252,67,51,28,138,297,140,253,116,145,28,3,28,10,26,35,56,66,76,128,222,176,207,160,473,182,307,413,378,316,275,117,58,3788
"G0100410","2020-2024","AL",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01041",,,"01041","Crenshaw County, Alabama",13122,13122,9252,3109,64,90,0,99,508,71,437,9117,162,0,0,9,0,8,0,2,39,150,105,203,227,170,204,3328,419,507,995,883,1207,423,67,9,48560,"Crenshaw County, Alabama",-555555555,-555555555,93,144,43,74,21,86,147,61,134,126,69,21,21,14,21,12,21,3,39,71,57,83,79,62,96,359,117,138,182,223,212,132,45,9,5509
"G0100430","2020-2024","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01043",,,"01043","Cullman County, Alabama",90566,90566,82079,882,341,498,18,1507,5241,3389,1852,63243,640,44,0,45,31,169,92,18,200,588,739,1063,2201,1742,1066,16333,3863,4760,9510,7686,8261,3406,531,255,62656,"Cullman County, Alabama",-555555555,-555555555,737,162,189,175,22,552,672,672,241,146,184,39,31,74,46,135,85,19,103,303,209,260,488,289,226,1039,614,541,858,782,809,530,165,94,3563
"G0100450","2020-2024","AL",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01045",,,"01045","Dale County, Alabama",49599,49599,33551,10103,247,611,48,1387,3652,1380,2272,33641,625,14,0,0,53,18,44,4,54,190,264,508,1017,754,975,8177,2220,2595,5629,3638,4563,1787,287,225,54963,"Dale County, Alabama",-555555555,-555555555,282,323,114,116,24,337,504,354,378,112,219,12,28,28,46,16,37,10,41,145,112,175,257,179,246,615,380,270,476,444,409,292,122,96,3147
"G0100470","2020-2024","AL",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01047",,,"01047","Dallas County, Alabama",36858,36858,9936,25810,46,226,0,39,801,50,751,25176,291,0,0,0,0,0,8,44,113,9,175,453,630,869,521,9273,1102,1302,3082,2902,2970,1162,111,159,35627,"Dallas County, Alabama",-555555555,-555555555,70,468,28,43,28,43,472,49,458,82,125,28,28,28,28,28,19,49,71,21,74,197,219,263,170,744,205,255,504,436,472,240,67,100,3641
"G0100490","2020-2024","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01049",,,"01049","DeKalb County, Alabama",72269,72269,57561,975,1215,142,517,7142,4717,2430,2287,48738,2203,9,33,1,2,170,319,210,971,412,888,1143,1360,1402,996,13361,3071,3482,6098,5744,4315,1941,423,184,51204,"DeKalb County, Alabama",-555555555,-555555555,875,112,497,63,739,1341,732,732,196,113,372,13,46,6,5,90,177,103,404,239,238,236,280,282,224,789,365,398,715,528,622,325,125,68,2508
"G0100510","2020-2024","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01051",,,"01051","Elmore County, Alabama",89526,89526,65175,18939,170,450,8,879,3905,1330,2575,62596,693,13,15,0,0,16,69,56,222,179,506,928,1279,1641,822,17349,3773,3538,9608,5995,10342,4387,519,646,78243,"Elmore County, Alabama",-555555555,-555555555,432,494,59,220,10,369,645,386,539,118,236,21,18,31,31,24,84,52,103,89,146,242,287,389,226,1041,395,513,857,622,853,550,167,231,3156
"G0100530","2020-2024","AL",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01053",,,"01053","Escambia County, Alabama",36629,36629,22148,10831,1040,165,0,523,1922,288,1634,25637,282,0,0,0,0,2,99,5,26,237,432,610,943,979,392,8792,1961,1642,3162,2605,2131,1027,207,103,48225,"Escambia County, Alabama",-555555555,-555555555,173,583,117,35,28,182,609,136,597,247,120,28,28,28,28,5,77,9,28,134,179,222,236,262,134,690,354,279,454,371,347,244,102,63,3891
"G0100550","2020-2024","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01055",,,"01055","Etowah County, Alabama",103105,103105,79440,15231,526,680,43,2780,4405,1595,2810,72481,1513,19,0,0,13,156,155,73,137,165,878,1181,1823,2211,1779,19904,5068,5396,11238,7663,8093,3277,1256,483,54563,"Etowah County, Alabama",-555555555,-555555555,395,469,224,141,43,515,525,362,456,91,387,26,31,31,20,91,100,58,61,76,233,281,405,447,253,1181,556,581,750,791,846,372,335,155,2653
"G0100570","2020-2024","AL",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01057",,,"01057","Fayette County, Alabama",16053,16053,13512,1777,22,8,40,37,657,114,543,11345,277,0,0,0,0,3,4,16,20,46,249,316,203,239,253,3508,1017,1222,1263,1024,1143,366,142,34,49488,"Fayette County, Alabama",-555555555,-555555555,158,222,23,16,45,43,235,88,217,167,119,21,21,21,21,5,9,19,19,40,101,168,82,95,109,390,256,255,252,190,253,117,80,28,7267
"G0100590","2020-2024","AL",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01059",,,"01059","Franklin County, Alabama",31966,31966,23800,1296,235,22,6,4643,1964,1339,625,21249,565,10,0,0,114,0,38,128,302,151,359,840,479,708,460,7137,1101,1650,2286,1556,2116,1029,164,56,53338,"Franklin County, Alabama",-555555555,-555555555,377,132,214,40,13,751,734,706,146,143,216,19,28,28,118,28,23,161,174,87,149,262,198,269,120,697,233,313,371,273,424,234,99,38,6056
"G0100610","2020-2024","AL",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01061",,,"01061","Geneva County, Alabama",26887,26887,22492,2316,66,168,5,580,1260,344,916,19064,293,0,33,0,0,146,10,33,105,126,387,456,611,454,409,5944,1533,1217,2786,1996,1819,639,26,41,52771,"Geneva County, Alabama",-555555555,-555555555,442,241,45,228,9,345,278,183,186,90,94,25,30,25,25,62,15,38,57,62,169,198,210,169,151,464,279,235,390,348,346,172,15,38,5419
"G0100630","2020-2024","AL",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01063",,,"01063","Greene County, Alabama",7424,7424,1326,6034,9,3,0,0,52,4,48,5143,99,0,0,0,0,79,0,8,1,0,7,52,75,176,175,2099,366,178,610,440,506,253,10,9,29200,"Greene County, Alabama",-555555555,-555555555,9,57,15,6,19,19,59,9,59,138,58,19,19,19,19,87,19,13,6,19,13,48,55,72,90,321,161,77,194,153,149,112,11,15,5134
"G0100650","2020-2024","AL",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01065",,,"01065","Hale County, Alabama",14829,14829,5645,8105,60,15,0,82,922,367,555,10178,246,0,20,0,48,83,0,19,0,34,230,278,274,229,392,3351,398,518,1389,879,1180,465,33,112,39250,"Hale County, Alabama",-555555555,-555555555,160,323,92,25,21,77,355,180,299,248,138,21,28,21,64,80,21,28,21,31,108,139,130,100,220,411,117,159,248,222,294,171,23,67,6985
"G0100670","2020-2024","AL",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01067",,,"01067","Henry County, Alabama",17647,17647,12490,4430,41,27,0,36,623,299,324,12865,112,0,18,17,20,16,5,44,51,82,246,205,290,416,585,3201,806,783,1978,1183,1707,975,68,57,59931,"Henry County, Alabama",-555555555,-555555555,148,124,22,40,21,32,195,151,124,71,55,21,21,10,24,21,9,43,57,71,110,132,118,179,202,345,188,169,269,259,247,222,57,61,6647
"G0100690","2020-2024","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01069",,,"01069","Houston County, Alabama",108140,108140,69848,29442,303,1157,45,1532,5813,2967,2846,74980,843,6,39,0,0,35,57,37,429,269,815,1204,1669,1925,1751,20022,4193,5120,11725,7560,10923,4550,1241,567,58626,"Houston County, Alabama",-555555555,-555555555,370,247,78,103,26,272,423,346,260,30,134,8,45,31,31,21,32,21,110,81,193,189,213,214,215,719,324,381,526,419,516,350,207,87,1551
"G0100710","2020-2024","AL",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01071",,,"01071","Jackson County, Alabama",53053,53053,46884,1680,254,253,14,1390,2578,570,2008,37972,785,14,0,14,0,1,20,58,122,216,663,1253,1220,1529,627,11712,2559,2339,4913,3881,3747,1641,330,328,51908,"Jackson County, Alabama",-555555555,-555555555,108,210,90,67,22,277,260,203,211,106,208,22,31,22,31,3,42,44,62,83,230,309,283,291,138,787,323,382,511,536,397,346,95,146,1987
"G0100730","2020-2024","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01073",,,"01073","Jefferson County, Alabama",667755,667755,323438,282024,2099,12439,949,16832,29974,16606,13368,453037,5351,126,185,54,142,264,226,501,1673,728,2265,4664,5922,9602,8264,102297,16741,26233,66764,36934,96832,42704,15293,9272,66388,"Jefferson County, Alabama",-555555555,-555555555,1245,1909,617,428,764,2036,2217,1734,1497,78,653,90,166,47,111,146,124,186,325,192,412,930,755,908,751,2735,1152,1626,2330,1713,2758,1716,1156,916,1491
"G0100750","2020-2024","AL",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01075",,,"01075","Lamar County, Alabama",13693,13693,11834,1371,25,6,0,71,386,101,285,9714,155,0,0,0,0,45,6,7,33,40,212,313,432,222,140,2812,1018,1038,1157,913,661,419,64,27,50000,"Lamar County, Alabama",-555555555,-555555555,91,119,36,9,21,43,132,90,120,66,78,21,21,21,21,50,11,13,44,36,108,125,164,82,86,344,228,218,234,213,149,142,48,27,7590
"G0100770","2020-2024","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01077",,,"01077","Lauderdale County, Alabama",95830,95830,79408,8774,317,595,21,1474,5241,2091,3150,65584,660,26,8,32,0,12,70,46,155,187,558,1060,1293,1136,922,18183,3404,3904,8963,5411,12190,5236,1105,1023,62649,"Lauderdale County, Alabama",-555555555,-555555555,603,472,140,141,29,468,887,709,514,148,179,30,12,52,31,13,58,57,70,100,174,349,340,288,195,1138,396,552,818,624,703,588,237,260,2965
"G0100790","2020-2024","AL",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01079",,,"01079","Lawrence County, Alabama",33276,33276,25268,3110,1237,135,0,568,2958,398,2560,23444,475,0,0,0,0,10,37,47,6,149,401,464,633,708,585,8013,1584,1496,3123,2146,2352,1013,168,34,66071,"Lawrence County, Alabama",-555555555,-555555555,262,212,237,38,28,278,375,205,309,158,178,28,28,28,28,16,57,69,9,109,175,182,175,201,149,537,315,247,475,311,491,347,77,25,5623
"G0100810","2020-2024","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01081",,,"01081","Lee County, Alabama",181134,181134,120001,40057,742,7858,57,3566,8853,4074,4779,112781,1269,0,0,154,83,205,28,236,218,252,698,1174,1753,1327,1457,19439,5133,6251,15335,9978,26028,14888,2473,4402,65824,"Lee County, Alabama",-555555555,-555555555,710,810,438,257,63,991,921,744,709,52,370,31,31,188,83,158,33,157,130,131,259,343,400,322,353,1202,768,695,1150,902,1304,882,427,484,2432
"G0100830","2020-2024","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01083",,,"01083","Limestone County, Alabama",111233,111233,82131,14243,1281,1961,103,3110,8404,3302,5102,78232,1659,0,18,23,0,71,62,84,368,538,1013,1402,1672,2284,1232,16536,4223,5927,10894,6604,14013,7762,1013,834,83629,"Limestone County, Alabama",-555555555,-555555555,993,619,529,281,93,1027,1121,870,699,152,453,31,24,36,31,69,86,53,163,207,340,454,438,570,383,1139,659,709,950,740,914,1035,309,244,4065
"G0100850","2020-2024","AL",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01085",,,"01085","Lowndes County, Alabama",9833,9833,2428,7258,11,0,0,0,136,29,107,6897,116,0,0,0,0,7,6,15,29,96,96,142,212,304,175,2635,285,254,955,579,678,235,65,13,37052,"Lowndes County, Alabama",-555555555,-555555555,27,70,19,19,19,19,70,25,65,99,50,19,19,19,19,11,9,19,37,78,48,79,93,127,70,241,81,109,183,155,212,109,55,19,4465
"G0100870","2020-2024","AL",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01087",,,"01087","Macon County, Alabama",18691,18691,3218,14498,6,59,0,117,793,287,506,11437,277,0,0,0,0,21,0,0,46,42,50,163,353,395,415,3004,647,602,2090,916,1289,726,259,142,43707,"Macon County, Alabama",-555555555,-555555555,79,170,9,46,21,79,197,114,155,255,124,21,21,21,21,36,21,21,31,34,29,99,110,140,136,307,157,153,298,182,209,154,137,47,4041
"G0100890","2020-2024","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01089",,,"01089","Madison County, Alabama",405718,405718,255719,96997,2015,10366,288,9197,31136,13108,18028,278833,2330,134,15,0,89,152,48,207,1097,503,1716,2318,3469,4112,3886,42721,10676,15393,38704,21819,77118,41044,5235,6047,86499,"Madison County, Alabama",-555555555,-555555555,1192,1258,462,621,121,1166,1798,1596,1364,66,394,177,21,31,106,129,37,137,421,231,483,472,563,778,658,1836,966,1130,2054,1244,2113,1678,585,593,1491
"G0100910","2020-2024","AL",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US01091",,,"01091","Marengo County, Alabama",18851,18851,8386,9592,54,49,0,174,596,192,404,12882,864,0,11,19,0,0,10,21,1,6,148,133,187,193,239,3799,556,1065,1812,1312,1414,934,126,32,43825,"Marengo County, Alabama",-555555555,-555555555,58,128,40,34,21,113,165,124,139,140,333,21,23,30,21,21,14,47,2,8,81,80,90,91,87,397,182,253,360,282,313,221,89,29,5429
